"CEFR","Grammar Point",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,"Answer1","Answer2","Answer3","Answer4","Answer5","Answer6","Answer7","Answer8","Answer9","Answer10","Answer11","Answer12","Answer13","Answer14","Answer15","Answer16","Answer17","Answer18","Answer19","Answer20"
"B1","By + -ing","You improve English by ______ every day.","She lost weight by ______ regularly.","He got better at chess by ______ online.","They saved money by ______ carefully.","We learned Spanish by ______ with native speakers.","I stayed healthy by ______ every morning.","She advanced in her career by ______ hard.","He solved the problem by ______ step by step.","They won the game by ______ together.","I remembered the rules by ______ repeatedly.","She stayed calm by ______ slowly.","He fixed the bike by ______ carefully.","We passed the exam by ______ consistently.","They improved their skills by ______ daily.","I reduced stress by ______ meditation.","She caught the mistake by ______ carefully.","He became fluent by ______ every day.","They reached their goal by ______ together.","I completed the project by ______ steadily.","She avoided mistakes by ______ attentively.","practicing","exercising","playing","budgeting","speaking","jogging","working","thinking","cooperating","repeating","breathing","tightening","studying","training","doing","observing","reading","collaborating","working","listening"
"A2","Modal: can / could","She ______ ride a bike when she was five.","He ______ swim very well.","I ______ solve the problem yesterday.","They ______ come to the party last week.","We ______ hear the music from outside.","You ______ open the window.","She ______ speak French when she was young.","He ______ run fast when he was a child.","I ______ finish my homework on time.","They ______ lift the heavy box.","We ______ see the mountains clearly.","You ______ call me later.","She ______ read at age four.","He ______ play the piano when he was eight.","I ______ answer all the questions.","They ______ visit the museum yesterday.","We ______ understand the instructions.","You ______ touch the hot surface.","She ______ remember his name.","He ______ do it alone.","could","can","could","could","could","can","could","could","could","could","could","can","could","could","could","could","could","can","could","could"
"A2","Modal: may / might","It ______ rain later.","She ______ be at the library.","He ______ join us for dinner.","They ______ come to the meeting.","We ______ visit Paris next year.","You ______ feel better soon.","I ______ forget to call him.","The train ______ be late.","He ______ need some help.","She ______ change her mind.","It ______ snow tonight.","They ______ not know the answer.","We ______ go shopping tomorrow.","I ______ be wrong about that.","He ______ bring his friends.","She ______ like the gift.","It ______ take a while.","You ______ enjoy the movie.","We ______ see him later.","They ______ arrive early.","might","may","might","might","might","may","might","might","might","might","might","might","might","might","might","might","might","may","might","might"
"A2","Tit for tat (Can / May)","______ I borrow your pen?","______ I open the window?","______ I sit here?","______ I use your phone?","______ I have some water?","______ I ask a question?","______ I read this book?","______ I take a photo?","______ I join the class?","______ I try the dessert?","______ I leave early?","______ I help you?","______ I look at your notes?","______ I write on the board?","______ I bring my friend?","______ I check my email?","______ I turn on the light?","______ I answer first?","______ I use your computer?","______ I borrow your notebook?","May","Can","May","Can","May","Can","May","Can","May","Can","May","Can","May","Can","May","Can","May","Can","May","Can"
"A2","Future tense (will)","I ______ call you tomorrow.","She ______ come to the party.","He ______ help us later.","They ______ arrive soon.","We ______ finish the project next week.","You ______ see him later.","I ______ answer the email.","She ______ meet us at 5 p.m.","He ______ start the job tomorrow.","They ______ join the meeting.","We ______ travel next month.","I ______ bring the documents.","She ______ send the message.","He ______ explain everything.","They ______ buy a new car.","We ______ visit our grandparents.","I ______ cook dinner tonight.","She ______ pick up the kids.","He ______ call you back.","They ______ enjoy the show.","will","will","will","will","will","will","will","will","will","will","will","will","will","will","will","will","will","will","will","will"
"A2","Be + going to","They ______ travel next week.","I ______ start a new job.","She ______ visit her friend.","He ______ watch a movie tonight.","We ______ have a meeting tomorrow.","You ______ read that book.","I ______ cook dinner later.","She ______ buy a new dress.","He ______ play football this weekend.","They ______ clean the house.","We ______ go shopping.","I ______ call my parents.","She ______ take a taxi.","He ______ fix the computer.","They ______ paint the room.","We ______ organize a party.","I ______ study English.","She ______ attend the class.","He ______ meet his colleague.","They ______ enjoy the concert.","are going to","am going to","is going to","is going to","are going to","are going to","am going to","is going to","is going to","are going to","are going to","am going to","is going to","is going to","are going to","are going to","am going to","is going to","is going to","are going to"
"A2","Present Continuous (future)","I ______ ______ tonight.","She ______ ______ her friend tomorrow.","He ______ ______ a new course next week.","They ______ ______ to Spain on Monday.","We ______ ______ a party this weekend.","You ______ ______ your grandparents soon.","I ______ ______ the doctor tomorrow.","She ______ ______ a new phone.","He ______ ______ football next Saturday.","They ______ ______ the house tomorrow.","We ______ ______ shopping later.","I ______ ______ my sister tonight.","She ______ ______ a taxi at 6 p.m.","He ______ ______ the car tomorrow.","They ______ ______ their room next week.","We ______ ______ a picnic on Sunday.","I ______ ______ for the test tomorrow.","She ______ ______ the meeting later.","He ______ ______ his colleague tomorrow.","They ______ ______ the concert next Friday.","am leaving","is meeting","is starting","are traveling","are having","are visiting","am seeing","is buying","is playing","are cleaning","are going","am calling","is taking","is fixing","are painting","are organizing","am studying","is attending","is meeting","are enjoying"
"B1","Future Continuous","This time tomorrow, I ______ ______ to London.","She ______ ______ at the meeting at 9 a.m.","He ______ ______ dinner when we arrive.","They ______ ______ football this afternoon.","We ______ ______ on the train at noon.","You ______ ______ at your desk later.","I ______ ______ TV in the evening.","She ______ ______ her homework at 8 p.m.","He ______ ______ in the garden tomorrow.","They ______ ______ their project all day.","We ______ ______ at the airport at this time.","I ______ ______ my email later.","She ______ ______ the presentation.","He ______ ______ a book when you call.","They ______ ______ in the park at noon.","We ______ ______ dinner at 7 p.m.","I ______ ______ in the office tomorrow morning.","She ______ ______ music in her room.","He ______ ______ with his friends tonight.","They ______ ______ for the exam all week.","will be flying","will be speaking","will be having","will be playing","will be traveling","will be working","will be watching","will be doing","will be gardening","will be completing","will be waiting","will be checking","will be giving","will be reading","will be running","will be eating","will be sitting","will be listening","will be hanging out","will be studying"
"A2","Will you / Shall I / Shall we","______ we start now?","______ I open the window?","______ you help me with this?","______ we go for a walk?","______ I call her?","______ you turn off the lights?","______ we wait a bit longer?","______ I take a message?","______ you pass me the salt?","______ we meet at 6 p.m.?","______ I bring some drinks?","______ you write an email?","______ we begin the lesson?","______ I carry this bag?","______ you check the door?","______ we leave now?","______ I explain the rules?","______ you answer the phone?","______ we continue later?","______ I give you some advice?","Shall","Shall","Will","Shall","Shall","Will","Shall","Shall","Will","Shall","Shall","Will","Shall","Shall","Will","Shall","Shall","Will","Shall","Shall"
"B1","Would / Used to","I ______ live in Brazil when I was a child.","She ______ go to the beach every summer.","He ______ play football after school.","They ______ visit their grandparents on Sundays.","We ______ have picnics in the park.","You ______ read a lot when you were younger.","I ______ watch cartoons every morning.","She ______ bake cookies with her mother.","He ______ take long walks in the evening.","They ______ celebrate Christmas together.","We ______ play hide-and-seek as kids.","I ______ dream of becoming a pilot.","She ______ sing in the school choir.","He ______ ride his bike to school.","They ______ tell stories at bedtime.","We ______ eat ice cream every weekend.","I ______ collect stamps as a child.","She ______ write letters to her friends.","He ______ help his father in the garden.","They ______ laugh a lot during holidays.","used to","would","would","used to","would","used to","would","used to","would","used to","would","used to","would","used to","would","used to","would","used to","would","used to"
"A1","Prepositions: in / on / at","I live ______ London.","She is ______ the kitchen.","He is ______ the bus.","They are ______ the park.","We arrived ______ 5 p.m.","You left ______ Monday.","The book is ______ the table.","He was born ______ 1990.","I sat ______ the chair.","The meeting is ______ Monday.","She is ______ the office.","The cat is sleeping ______ the sofa.","We met ______ the station.","I will call you ______ noon.","He works ______ the bank.","The picture is ______ the wall.","She is ______ the garden.","I left my keys ______ the drawer.","We will meet ______ Friday.","The children are playing ______ the playground.","in","in","on","in","at","on","on","in","on","on","in","on","at","at","at","on","in","in","on","in"
"A2","Prepositions: in / on / at (time)","The meeting is ______ Monday.","I was born ______ 1995.","She will visit us ______ the morning.","He called me ______ Friday.","We will leave ______ 6 p.m.","The festival is ______ July.","My birthday is ______ Saturday.","The train arrives ______ noon.","I start work ______ the afternoon.","They met ______ Christmas.","The exam is ______ next week.","She arrived ______ 3 p.m.","We usually go skiing ______ winter.","He left ______ Tuesday morning.","I have an appointment ______ next month.","The movie starts ______ 8 p.m.","She will travel ______ September.","We will finish ______ the evening.","The concert is ______ Saturday night.","I will call you ______ tomorrow.","on","in","in","on","at","in","on","at","in","at","in","at","in","on","in","at","in","in","on","tomorrow"
"B1","Prepositions: in / on / at (places)","She arrived ______ the airport just in time.","He is waiting ______ the bus stop.","They are sitting ______ the restaurant.","I live ______ the city center.","She is ______ the office now.","We met ______ the train station.","The books are ______ the shelf.","He was ______ the hospital yesterday.","They are staying ______ a hotel near the beach.","I left my bag ______ the car.","She is ______ the library studying.","We arrived ______ the cinema late.","He is ______ the park with his dog.","I am ______ the meeting room.","The kids are playing ______ the playground.","He was ______ the kitchen making dinner.","They are ______ the museum now.","I found it ______ the street.","She is ______ the station platform.","We are ______ the café having coffee.","at","at","in","in","in","at","on","at","in","in","in","at","in","in","on","in","in","on","at","in"
"B2","Prepositions: in / on / at (advanced uses)","The company specializes ______ renewable energy research.","She is highly skilled ______ negotiation.","He is interested ______ environmental policy.","They excel ______ programming and AI.","We are participating ______ an international conference.","The team is engaged ______ developing new software.","She has a degree ______ economics.","He is proficient ______ several languages.","The organization focuses ______ human rights advocacy.","I am involved ______ several community projects.","The professor is an expert ______ ancient history.","They concentrated ______ solving the problem.","She is experienced ______ customer relations.","He is well-known ______ the academic community.","We succeeded ______ completing the task on time.","The company invested heavily ______ renewable technologies.","She is enthusiastic ______ learning new skills.","He is committed ______ improving education standards.","They are specialized ______ cyber security.","I am responsible ______ preparing the reports.","in","in","in","in","in","in","in","in","in","in","in","in","in","in","in","in","in","in","in","in"
"A2","Should / Ought to","You ______ study more.","She ______ eat healthy food.","He ______ go to bed earlier.","They ______ practice every day.","We ______ arrive on time.","I ______ call my parents.","You ______ listen to your teacher.","She ______ drink more water.","He ______ be careful on the road.","They ______ check their work.","We ______ help our neighbors.","I ______ take a break.","You ______ save money.","She ______ speak politely.","He ______ wear a coat.","They ______ read the instructions.","We ______ exercise regularly.","I ______ finish my homework.","You ______ apologize.","She ______ plan ahead.","should","ought to","should","should","ought to","should","ought to","should","should","ought to","should","ought to","should","should","ought to","should","ought to","should","ought to","should"
"A1","To be – present tense","She ______ my sister.","He ______ the owner of the store.","I ______ a student.","They ______ friends.","He ______ very tall.","We ______ at home.","You ______ happy today.","It ______ a sunny day.","I ______ tired.","She ______ in the garden.","They ______ in the classroom.","We ______ ready to go.","He ______ a doctor.","You ______ late.","I ______ hungry.","It ______ cold today.","She ______ very kind.","They ______ not at school.","We ______ excited about the trip.","He ______ from Brazil.","is","is","am","are","is","are","are","is","am","is","are","are","is","are","am","is","is","are","are","is"
"A1","A / An","He has ______ orange.","She bought ______ apple.","I saw ______ elephant at the zoo.","We found ______ umbrella in the classroom.","He carried ______ bag to school.","She picked ______ ant from the table.","I need ______ pencil to write.","He ate ______ ice cream cone.","They have ______ dog in the yard.","She wore ______ hat to the party.","We bought ______ onion at the market.","He wants ______ sandwich for lunch.","She owns ______ iguana as a pet.","I saw ______ lamp in the store.","He carried ______ hourglass to class.","She met ______ teacher yesterday.","There is ______ egg in the fridge.","We saw ______ owl near the tree.","He bought ______ book from the shop.","I found ______ orange on the counter.","an","an","an","an","a","an","a","an","a","a","an","a","an","an","an","a","an","an","a","an"
"A1","There is / There are","______ a cat on the table.","______ two books on the shelf.","______ a dog in the garden.","______ many students in the classroom.","______ an apple on the plate.","______ some chairs in the room.","______ a pen on the desk.","______ five cars in the parking lot.","______ a bird in the tree.","______ some water in the bottle.","______ a child in the playground.","______ two cups on the table.","______ a sandwich in the fridge.","______ many flowers in the garden.","______ a key on the counter.","______ some pencils in the bag.","______ a phone on the sofa.","______ three windows in the room.","______ a bag under the chair.","______ several pictures on the wall.","There is","There are","There is","There are","There is","There are","There is","There are","There is","There is","There is","There are","There is","There are","There is","There are","There is","There are","There is","There are"
"A1","This/That; These/Those","______ is my phone.","______ are my keys.","______ is her bag.","______ are his shoes.","______ is the teacher.","______ are the students.","______ is a cat over there.","______ are birds in the sky.","______ is my house.","______ are your friends.","______ is my notebook.","______ are the chairs.","______ is his car.","______ are the children.","______ is the lamp.","______ are the tables.","______ is that building.","______ are those mountains.","______ is my hat.","______ are my parents.","This","These","This","These","This","These","That","Those","This","These","This","These","This","These","This","These","That","Those","This","These"
"A1","Present Continuous","They ______ ______ TV.","I ______ ______ a book.","She ______ ______ the piano.","He ______ ______ dinner.","We ______ ______ English.","You ______ ______ music.","It ______ ______ outside.","They ______ ______ in the pool.","I ______ ______ an email.","She ______ ______ a picture.","He ______ ______ the car.","We ______ ______ for the test.","You ______ ______ too much.","It ______ ______ today.","They ______ ______ at the party.","I ______ ______ lunch.","She ______ ______ her room.","He ______ ______ in the park.","We ______ ______ a song.","You ______ ______ the news.","are watching","am reading","is playing","is cooking","are learning","are listening","is raining","are swimming","am writing","is painting","is fixing","are studying","are talking","is snowing","are dancing","am eating","is cleaning","is running","are singing","are watching"
"A1","Simple Present","He ______ coffee every morning.","She ______ to school by bus.","I ______ breakfast at 7 am.","They ______ football on Sundays.","We ______ in a big house.","You ______ very fast.","It ______ a lot in winter.","He ______ English very well.","She ______ the guitar.","I ______ my homework every day.","They ______ TV in the evening.","We ______ to the park on weekends.","You ______ always happy.","It ______ too cold today.","He ______ newspapers every morning.","She ______ water every day.","I ______ in a small town.","They ______ good food at the restaurant.","We ______ our friends often.","You ______ your room.","drinks","goes","have","play","live","run","rains","speaks","plays","do","watch","go","are","is","reads","drinks","live","eat","visit","clean"
"A1","To Be – Past Tense","We ______ tired yesterday.","I ______ at home last night.","He ______ happy yesterday.","She ______ late for class.","It ______ sunny yesterday.","You ______ busy yesterday.","They ______ at the park.","I ______ hungry in the morning.","He ______ a student last year.","She ______ at the party.","We ______ excited about the trip.","You ______ ready to leave.","They ______ not at school.","It ______ cold last week.","I ______ surprised by the news.","He ______ angry yesterday.","She ______ kind to everyone.","We ______ at the cinema.","You ______ tired after work.","They ______ happy with the results.","were","was","was","was","was","were","were","was","was","was","were","were","were","was","was","was","was","were","were","were"
"A1","Interrogative Words","______ are you doing?","______ is your name?","______ is at the door?","______ is she talking to?","______ are your friends?","______ is your favorite color?","______ do you like to eat?","______ is coming to the party?","______ is on the table?","______ are you going?","______ is your teacher?","______ did you see yesterday?","______ is your mother?","______ are they playing?","______ is making that noise?","______ do you want for breakfast?","______ is the capital of France?","______ are you studying?","______ is responsible for this?","______ is your favorite movie?","What","What","Who","Who","Who","What","What","Who","What","Where","Who","Who","Who","What","Who","What","What","What","Who","What"
"A2","Position/Meaning of “Too”","The tea is ______ hot to drink.","The bag is ______ heavy to carry.","This soup is ______ salty.","The music is ______ loud.","He is ______ tired to work.","The water is ______ cold to swim.","The box is ______ big for the shelf.","The shoes are ______ small.","The film was ______ boring.","The book is ______ long to read in one day.","The cake is ______ sweet.","The coffee is ______ strong.","The exam was ______ difficult.","The weather is ______ cold today.","The dress is ______ expensive.","The road is ______ busy to cross.","The shirt is ______ tight.","The homework is ______ easy.","The room is ______ bright.","The movie was ______ short.","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too"
"A2","Position/Meaning of “Too”","The tea is ______ hot to drink.","This bag is ______ heavy to lift.","I want to go ______.","She is ______ young to drive.","He ate ______ much cake.","The music is ______ loud.","You are ______ kind to everyone.","They arrived ______ late.","This soup is ______ salty.","We have ______ little time to finish.","He runs ______ fast.","I like chocolate ______.","The box is ______ big for the shelf.","The shoes are ______ small.","She talks ______ much in class.","He is ______ polite to refuse.","The weather is ______ cold today.","I am tired, and I want to sleep ______.","The movie is ______ long.","The coffee is ______ strong.","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too","too"
"A1","Imperative Sentences","______ the window, please.","______ your hands before eating.","______ the door.","______ the lights off.","______ quiet.","______ your homework now.","______ the book on the table.","______ standing in line.","______ your shoes.","______ the water.","______ the music.","______ the cake into pieces.","______ sitting here.","______ your bag.","______ ready to go.","______ the TV.","______ listening carefully.","______ helping your friend.","______ the email.","______ waiting for me.","Open","Wash","Close","Turn","Be","Do","Put","Keep","Take","Drink","Play","Cut","Keep","Carry","Be","Switch","Listen","Keep","Send","Stop"
"A1","Plural of Nouns","I saw three ______.","She has two ______.","We bought five ______.","They found many ______.","He owns four ______.","I like those ______.","She collected ten ______.","The park has many ______.","I have several ______.","He saw a lot of ______.","We need six more ______.","They are selling old ______.","I want two ______.","She counted the ______.","He gave me three ______.","We bought some ______.","I found many ______.","She drew four ______.","They planted ten ______.","I saw two ______.","dogs","cats","books","chairs","cars","apples","stamps","birds","pencils","houses","chairs","bottles","pens","coins","oranges","flowers","coins","chairs","trees","shoes"
"A1","Can / Cannot","She ______ swim.","I ______ play the piano.","He ______ drive a car.","They ______ come to the party.","We ______ speak English.","You ______ lift this box.","It ______ fly.","I ______ solve this problem.","She ______ cook very well.","He ______ run fast.","We ______ eat all the pizza.","They ______ climb the mountain.","You ______ see the stars clearly.","I ______ open the window.","She ______ speak French.","He ______ play football.","We ______ finish on time.","They ______ find the key.","You ______ leave early.","I ______ read this book.","can","can","can","can","can","can","cannot","can","can","can","can","can","can","can","can","can","can","can","can","can"
"A2","Nouns in Groups","A ______ of grapes is on the table.","A ______ of birds flew over the park.","I bought a ______ of bananas.","A ______ of wolves hunted in the forest.","There is a ______ of students in the classroom.","A ______ of keys was on the desk.","I saw a ______ of cows in the field.","She gave me a ______ of flowers.","We found a ______ of ants in the kitchen.","A ______ of lions rested under the tree.","I need a ______ of pencils.","He has a ______ of stamps.","They visited a ______ of museums.","A ______ of fish swam in the pond.","We spotted a ______ of dolphins.","She owns a ______ of cats.","He saw a ______ of planes in the sky.","A ______ of judges discussed the case.","I bought a ______ of oranges.","A ______ of chairs is in the hall.","bunch","flock","bunch","pack","group","bunch","herd","bouquet","colony","pride","set","collection","group","school","pod","litter","squadron","panel","crate","row"
"A1","Present continuous (future meaning)","I ______ meeting him tomorrow.","She ______ traveling to London next week.","We ______ visiting our grandparents this weekend.","They ______ starting the new project on Monday.","He ______ seeing the doctor later.","I ______ meeting my friend for coffee tomorrow.","She ______ attending a seminar on Friday.","We ______ watching the new movie tonight.","They ______ moving to a new house next month.","He ______ joining the team next week.","I ______ having lunch with Sarah tomorrow.","She ______ taking the test on Wednesday.","We ______ going shopping on Saturday.","They ______ playing football after school.","He ______ flying to Paris next Monday.","I ______ attending the conference next week.","She ______ meeting her boss tomorrow.","We ______ starting the course next Monday.","They ______ visiting the museum on Friday.","He ______ calling you later.","am","is","are","are","is","am","is","are","are","is","am","is","are","are","is","am","is","are","are","is"
"A2","Question words","______ is that man?","______ is on the table?","______ are your friends?","______ did you see at the park?","______ is coming to the party?","______ is in the classroom?","______ called you yesterday?","______ is taller, John or Peter?","______ are you talking to?","______ is responsible for the homework?","______ lives next door?","______ is making that noise?","______ will help me with this task?","______ is at the front?","______ are those children?","______ owns this bag?","______ will present first in the class?","______ is going to the shop?","______ do you want to meet?","______ is the best restaurant in town?","Who","What","Who","What","Who","Where","Who","Which","Who","What","Where","What","Who","Where","Who","Which","Which","Where","Who","Which"
"B1","Who (mixed uses)","______ called you yesterday?","______ is sitting next to Sarah?","______ lives in that house is a teacher.","______ helped me with my homework was kind.","I don’t know ______ is coming to the party.","______ did you meet at the station?","______ is responsible for this task?","The student ______ answered correctly was happy.","______ wrote this letter?","______ is joining the team tomorrow?","The person ______ left the message is unknown.","Can you tell me ______ will lead the discussion?","______ is wearing a red jacket?","______ solved the problem deserves a reward.","______ are your best friends?","______ made this beautiful painting?","The doctor ______ treated me was very professional.","______ is knocking at the door?","I wonder ______ will win the competition.","______ is in charge of the project?","Who (question-subject)","Who (question-subject)","Who (relative pronoun)","Who (relative pronoun)","Who (indirect question)","Who (question-object)","Who (expression)","Who (relative pronoun)","Who (question-subject)","Who (question-subject)","Who (relative pronoun)","Who (indirect question)","Who (question-subject)","Who (relative pronoun)","Who (question-subject)","Who (question-subject)","Who (relative pronoun)","Who (question-subject)","Who (indirect question)","Who (relative pronoun)"
"A2","Possessive case of nouns","This is ______ car.","That is ______ house.","This is ______ book.","Those are ______ shoes.","I borrowed ______ pen.","She found ______ keys.","We visited ______ school.","He fixed ______ bike.","This is ______ bag.","They met ______ parents.","I like ______ style.","She cleaned ______ room.","We borrowed ______ notes.","He painted ______ fence.","This is ______ computer.","They returned ______ tickets.","She read ______ letter.","We admired ______ garden.","He washed ______ dog.","That is ______ office.","John’s","Mary’s","Alice’s","their’s","my","her","our","his","Hannah’s","their","Jack’s","Susan’s","our","his","Tom’s","their","Anna’s","our","David’s","their"
"A1","Simple present – affirmative","They ______ to school by bus.","He ______ football every Sunday.","She ______ breakfast at 7 a.m.","I ______ English at school.","We ______ TV in the evening.","My brother ______ in a bank.","My friends ______ pizza on Fridays.","The cat ______ on the sofa.","The teacher ______ the lesson clearly.","You ______ very fast.","My parents ______ in New York.","The dog ______ in the garden.","The baby ______ a lot.","Anna ______ her homework every day.","We ______ coffee in the morning.","He ______ water every day.","The children ______ in the park.","I ______ music every day.","She ______ to the gym on Mondays.","They ______ sandwiches for lunch.","go","plays","eats","study","watch","works","eat","sleeps","explains","run","live","plays","cries","does","drink","play","listen","go","study","eat"
"A1","Simple present – neg./interrogative","______ you like pizza?","______ he play football?","______ she go to school on Sundays?","______ they live in New York?","______ it rain a lot in winter?","______ I need a pen?","______ your brother watch TV in the evening?","______ we study English every day?","______ the cat sleep on the sofa?","______ your parents drive to work?","______ he drink coffee in the morning?","______ she like ice cream?","______ they play basketball after school?","______ I help you with your homework?","______ the children go to the park?","______ your friend speak French?","______ it snow in December?","______ we meet at 5 p.m.?","______ he have a car?","______ you understand the lesson?","Do","Does","Does","Do","Does","Do","Does","Do","Does","Do","Does","Does","Do","Do","Do","Does","Does","Do","Does","Do"
"A2","Too / Either","I can’t go, and he can’t ______.","I don’t like coffee, and she doesn’t ______.","She wants to come, and I want to ______.","They aren’t ready, and we aren’t ______.","He enjoys swimming, and I do ______.","I didn’t see the movie, and my friends didn’t ______.","You like pizza, and I do ______.","We can’t find the keys, and they can’t ______.","She sings well, and he does ______.","I haven’t finished my homework, and my sister hasn’t ______.","They love dancing, and we do ______.","He doesn’t know the answer, and she doesn’t ______.","I want ice cream, and you do ______.","We aren’t going to the park, and they aren’t ______.","She reads a lot, and I do ______.","I don’t eat meat, and he doesn’t ______.","He can play the guitar, and she can ______.","They haven’t visited Paris, and we haven’t ______.","I like this song, and you do ______.","She doesn’t like spiders, and I don’t ______.","either","either","too","either","too","either","too","either","too","either","too","either","too","either","too","either","too","either","too","either"
"A2","Have to","I ______ finish my homework.","She ______ wake up early tomorrow.","They ______ clean their room.","He ______ study for the test.","We ______ leave now to catch the bus.","You ______ take your medicine.","My brother ______ call his teacher.","The students ______ submit the assignment.","She ______ attend the meeting.","I ______ go to the dentist today.","We ______ prepare for the exam.","He ______ pack his bag.","They ______ follow the rules.","She ______ buy groceries.","I ______ help my parents.","He ______ write a report.","We ______ be on time.","You ______ read this book.","They ______ fix the broken chair.","She ______ finish the project tonight.","have to","has to","have to","has to","have to","have to","has to","have to","has to","have to","have to","has to","have to","has to","have to","has to","have to","have to","have to","has to"
"A1","To be (age)","She ______ 10 years old.","He ______ 15 years old.","I ______ 20 years old.","They ______ 18 years old.","We ______ 30 years old.","You ______ 25 years old.","My sister ______ 12 years old.","Her brother ______ 8 years old.","They ______ 17 years old.","He ______ 40 years old.","I ______ 22 years old.","She ______ 13 years old.","We ______ 28 years old.","They ______ 21 years old.","You ______ 19 years old.","He ______ 33 years old.","My friend ______ 27 years old.","She ______ 16 years old.","I ______ 24 years old.","They ______ 23 years old.","is","is","am","are","are","are","is","is","are","is","am","is","are","are","are","is","is","is","am","are"
"A1","Personal pronouns","______ am learning English.","______ are my best friends.","______ is very tall.","______ is going to the store.","______ are playing football.","______ likes pizza.","______ am happy today.","______ is my teacher.","______ are very kind.","______ loves chocolate.","______ are from Brazil.","______ is my brother.","______ is a doctor.","______ are reading a book.","______ enjoys swimming.","______ am tired.","______ is my sister.","______ are teachers.","______ is my dog.","______ like music.","I","They","He","She","They","He","I","He","They","She","They","He","He","They","He","I","She","They","It","They"
"A2","One another / each other","They love ______.","We help ______ every day.","The students respect ______.","My friends support ______.","The neighbors greet ______ in the morning.","They talk to ______ often.","Children play with ______ at school.","He and she understand ______.","The team trusts ______.","They admire ______ for their work.","We share our ideas with ______.","My parents care for ______.","The couples look after ______.","They write letters to ______.","Friends listen to ______ carefully.","They teach ______ new skills.","He and his brother help ______.","They compete with ______ fairly.","We thank ______ for the gifts.","The students encourage ______.","each other","each other","one another","one another","each other","each other","each other","one another","one another","one another","one another","each other","each other","one another","one another","each other","each other","one another","one another","each other"
"A2","What a / How!","______ wonderful day!","______ beautiful flowers!","______ big house!","______ delicious meal!","______ nice car!","______ interesting book!","______ amazing view!","______ tall building!","______ great movie!","______ fun game!","______ exciting match!","______ warm weather!","______ terrible accident!","______ funny story!","______ hard work!","______ cold winter!","______ busy street!","______ clean room!","______ peaceful garden!","______ lovely person!","What a","What a","How","What a","How","What a","How","What a","How","What a","What a","How","How","What a","How","What a","What a","How","What a","How"
"A2","Simple past tense","They ______ the movie yesterday.","He ______ his homework last night.","She ______ to the park yesterday.","I ______ a delicious cake yesterday.","We ______ football last weekend.","You ______ a letter to your friend.","My brother ______ the car to school.","The students ______ in the library.","She ______ a new dress yesterday.","I ______ my keys yesterday.","We ______ a great time at the party.","He ______ a book last week.","They ______ TV last night.","She ______ the piano yesterday.","I ______ breakfast early this morning.","We ______ for the bus yesterday.","He ______ to music yesterday.","They ______ a new game last weekend.","She ______ very happy yesterday.","I ______ to the store yesterday.","watched","did","went","baked","played","sent","drove","studied","bought","lost","had","read","watched","played","practiced","had","waited","listened","tried","was"
"B1","Beside / Besides","______ English, she speaks Spanish.","He has no other hobbies ______ reading.","There is a lamp ______ the bed.","______ his job, he volunteers at a shelter.","The school is ______ the park.","______ playing football, she likes tennis.","______ her parents, nobody knew the secret.","There is a chair ______ the table.","______ working hard, he finds time to travel.","______ the obvious reasons, we must consider others.","The dog sat ______ the fire.","______ music, she enjoys painting.","There is a house ______ the river.","______ the teacher, no one understood the lesson.","______ swimming, he enjoys running.","She stood ______ me during the ceremony.","______ the main points, the essay includes minor details.","The cat slept ______ the sofa.","______ reading, he writes stories.","______ the students, the classroom was empty.","Besides","Besides","Beside","Besides","Beside","Besides","Besides","Beside","Besides","Besides","Beside","Besides","Beside","Besides","Besides","Beside","Besides","Beside","Beside","Besides"
"B1","Past continuous tense","They ______ sleeping when I called.","I ______ reading a book at 8 p.m.","She ______ cooking dinner yesterday.","He ______ playing football when it started raining.","We ______ watching TV at that time.","You ______ studying all night.","My parents ______ talking in the garden.","The students ______ doing their homework.","She ______ listening to music yesterday evening.","I ______ writing an email when he arrived.","We ______ walking in the park.","He ______ driving home when the phone rang.","They ______ waiting for the bus.","She ______ cleaning her room.","I ______ learning English at that moment.","We ______ playing chess yesterday.","He ______ reading the newspaper.","They ______ having lunch when I called.","She ______ working late last night.","I ______ sleeping when the alarm rang.","were","was","was","was","were","were","were","were","was","was","were","was","were","was","was","were","was","were","was","was"
"A1","Possessive adjectives/pronouns","This is ______ book.","That is ______ car.","These are ______ shoes.","Those are ______ pencils.","I like ______ house.","He loves ______ dog.","She is cleaning ______ room.","We finished ______ homework.","You forgot ______ keys.","They are visiting ______ grandparents.","My brother is playing with ______ toy.","Her sister is reading ______ magazine.","Our parents are at ______ work.","Your friends are at ______ school.","Their teacher is very kind.","I lost ______ wallet.","He is washing ______ hands.","She brought ______ bag.","We are decorating ______ classroom.","They are playing with ______ ball.","my","his","her","our","my","his","her","our","your","their","his","her","our","your","their","my","his","her","our","their"
