STORY,en,pt,es,it,fr,de,ja,HIRAGANA,ROMAJI,nl
13,10. SHE PUTS THE BIG BROKEN PIECES ONTO THE DUSTPAN.,10. ELA COLOCA OS GRANDES PEDAÇOS QUEBRADOS NA PA DE LIXO.,10. ELLA PONE LOS PEDAZOS GRANDES ROTOS EN EL RECIPIENTE DE BASURA.,10. LEI METTE I PEZZI GRANDI ROTTI NELLA PALETTA.,10. ELLE MET LES GROS MORCEAUX CASSÉS SUR LA PELLE.,10. SIE LEGT DIE GROSSEN GEBROCHENEN STÜCKE AUF DIE KEHRSCHAUFEL.,10. 彼女は大きな割れた破片をちりとりに置きます。,10. かのじょはおおきなわれたはへんをちりとりにおきます。,10. KANOJO WA ŌKINA WARETA HAHEN O CHIRITORI NI OKIMASU.,10. ZE DOET DE GROTE STUKKEN IN DE STROOPPAAL.
13,11. SHE TAKES THE BIG BROKEN PIECES TO THE TRASH CAN.,11. ELA LEVA OS GRANDES PEDAÇOS QUEBRADOS PARA A LIXEIRA.,11. ELLA LLEVA LOS PEDAZOS GRANDES ROTOS A LA PAPELERA.,11. LEI PORTA I PEZZI GRANDI ROTTI NEL CESTINO.,11. ELLE PREND LES GROS MORCEAUX CASSÉS À LA POUBELLE.,11. SIE BRINGT DIE GROSSEN GEBROCHENEN STÜCKE ZUM MÜLLEIMER.,11. 彼女は大きな割れた破片をゴミ箱に持って行きます。,11. かのじょはおおきなわれたはへんをごみばこにもちっていきます。,11. KANOJO WA ŌKINA WARETA HAHEN O GOMIBAKO NI MOTTE IKIMASU.,11. ZE BRENGT DE GROTE STUKKEN NAAR DE PRULLENBAK.
13,12. SHE THROWS THE BIG BROKEN PIECES INTO THE TRASH CAN.,12. ELA JOGA OS GRANDES PEDAÇOS QUEBRADOS NA LIXEIRA.,12. ELLA TIRA LOS PEDAZOS GRANDES ROTOS EN LA PAPELERA.,12. LEI GETTA I PEZZI GRANDI ROTTI NEL CESTINO.,12. ELLE JETTE LES GROS MORCEAUX CASSÉS DANS LA POUBELLE.,12. SIE WERFEN DIE GROSSEN GEBROCHENEN STÜCKE IN DEN MÜLLEIMER.,12. 彼女は大きな割れた破片をゴミ箱に捨てます。,12. かのじょはおおきなわれたはへんをごみばこにすてます。,12. KANOJO WA ŌKINA WARETA HAHEN O GOMIBAKO NI SUTEMASU.,12. ZE GOOIT DE GROTE STUKKEN IN DE PRULLENBAK.
13,13. SHE SWEEPS THE SMALL BROKEN PIECES.,13. ELA VARRE OS PEQUENOS PEDAÇOS QUEBRADOS.,13. ELLA BARRE LOS PEDAZOS PEQUEÑOS ROTOS.,13. LEI SPAZZA I PEZZI PICCOLI ROTTI.,13. ELLE BALAYE LES PETITS MORCEAUX CASSÉS.,13. SIE FEGT DIE KLEINEN GEBROCHENEN STÜCKE.,13. 彼女は小さな割れた破片を掃きます。,13. かのじょはちいさなわれたはへんをはきます。,13. KANOJO WA CHIISANA WARETA HAHEN O HAKIMASU.,13. ZE VEGT DE KLEINE STUKJES.
13,14. SHE PUTS THE SMALL BROKEN PIECES ONTO THE DUSTPAN.,14. ELA COLOCA OS PEQUENOS PEDAÇOS QUEBRADOS NA PA DE LIXO.,14. ELLA PONE LOS PEDAZOS PEQUEÑOS ROTOS EN EL RECIPIENTE DE BASURA.,14. LEI METTE I PEZZI PICCOLI ROTTI NELLA PALETTA.,14. ELLE MET LES PETITS MORCEAUX CASSÉS SUR LA PELLE.,14. SIE LEGT DIE KLEINEN GEBROCHENEN STÜCKE AUF DIE KEHRSCHAUFEL.,14. 彼女は小さな割れた破片をちりとりに置きます。,14. かのじょはちいさなわれたはへんをちりとりにおきます。,14. KANOJO WA CHIISANA WARETA HAHEN O CHIRITORI NI OKIMASU.,14. ZE DOET DE KLEINE STUKJES IN DE STROOPPAAL.
13,15. SHE TAKES THE DUSTPAN TO THE TRASH CAN.,15. ELA LEVA A PA DE LIXO PARA A LIXEIRA.,15. ELLA LLEVA EL RECIPIENTE DE BASURA A LA PAPELERA.,15. LEI PORTA LA PALETTA NEL CESTINO.,15. ELLE PREND LA PELLE À LA POUBELLE.,15. SIE BRINGT DIE KEHRSCHAUFEL ZUM MÜLLEIMER.,15. 彼女はちりとりをゴミ箱に持って行きます。,15. かのじょはちりとりをごみばこにもちっていきます。,15. KANOJO WA CHIRITORI O GOMIBAKO NI MOTTE IKIMASU.,15. ZE BRENGT DE STROOPPAAL NAAR DE PRULLENBAK.
13,16. SHE THROWS THE SMALL BROKEN PIECES INTO THE TRASH CAN.,16. ELA JOGA OS PEQUENOS PEDAÇOS QUEBRADOS NA LIXEIRA.,16. ELLA TIRA LOS PEDAZOS PEQUEÑOS ROTOS EN LA PAPELERA.,16. LEI GETTA I PEZZI PICCOLI ROTTI NEL CESTINO.,16. ELLE JETTE LES PETITS MORCEAUX CASSÉS DANS LA POUBELLE.,16. SIE WERFEN DIE KLEINEN GEBROCHENEN STÜCKE IN DEN MÜLLEIMER.,16. 彼女は小さな割れた破片をゴミ箱に捨てます。,16. かのじょはちいさなわれたはへんをごみばこにすてます。,16. KANOJO WA CHIISANA WARETA HAHEN O GOMIBAKO NI SUTEMASU.,16. ZE GOOIT DE KLEINE STUKJES IN DE PRULLENBAK.
13,17. SHE PUTS BACK THE BROOM AND THE DUSTPAN.,17. ELA COLOCA A VASSOURA E A PA DE LIXO DE VOLTA.,17. ELLA DEVUELVE LA ESCOba Y EL RECIPIENTE DE BASURA.,17. LEI RIPONE LA SCOPA E LA PALETTA.,17. ELLE REMET LE BALAI ET LA PELLE.,17. SIE STELLT DEN BESEN UND DIE KEHRSCHAUFEL ZURÜCK.,17. 彼女はほうきとちりとりを戻します。,17. かのじょはほうきとちりとりをもどします。,17. KANOJO WA HŌKI TO CHIRITORI O MODOSHIMASU.,17. ZE ZET DE BEZEM EN STROOPPAAL TERUG.
13,18. SHE GETS ANOTHER GLASS.,18. ELA PEGA OUTRO COPO.,18. ELLA TOMA OTRO VASO.,18. LEI PRENDE UN ALTRO BICCHIERE.,18. ELLE PREND UN AUTRE VERRE.,18. SIE NIMMT EIN ANDERES GLAS.,18. 彼女はもう一つグラスを取ります。,18. かのじょはもうひとつグラスをとります。,18. KANOJO WA MŌ HITOTSU GURASU O TORIMASU.,18. ZE NEEMT NOG EEN GLAS.
13,19. HER HUSBAND SAYS - DON'T DROP THE GLASS.,19. O MARIDO DELA DIZ - NÃO DEIXE CAIR O COPO.,19. SU ESPOSO DICE - NO DEJES CAER EL VASO.,19. SUO MARITO DICE - NON FAR CADERE IL BICCHIERE.,19. SON MARI DIT - NE LAISSE PAS TOMBER LE VERRE.,19. IHR EHEMANN SAGT - LASS DAS GLAS NICHT FALLEN.,19. 彼女の夫は言います - グラスを落とさないでください。,19. かのじょのおっとはいいます - グラスをおとさないでください。,19. KANOJO NO OTTO WA IIMASU - GURASU O OTOSANAIDE KUDASAI.,19. HAAR MAN ZEGT - LATEN HET GLAS NIET VALLEN.
14,1. THE HOUSE IS DIRTY.,1. A CASA ESTÁ SUJA.,1. LA CASA ESTÁ SUCIA.,1. LA CASA È SPORCA.,1. LA MAISON EST SALE.,1. DAS HAUS IST SCHMUTZIG.,1. 家は汚れています。,1. いえはよごれています。,1. IE WA YOGORETEIMASU.,1. HET HUIS IS VUIL.
14,2. JACK FILLS A BUCKET WITH WATER.,2. JACK ENCHE UM BALDE COM ÁGUA.,2. JACK LLENA UN CUBO CON AGUA.,2. JACK RIEMPIE UN SECCHIO CON ACQUA.,2. JACK REMPLIT UN SEAU D’EAU.,2. JACK FÜLLT EINEN EIMER MIT WASSER.,2. ジャックはバケツに水を入れます。,2. ジャックはバケツにみずをいれます。,2. JAKKU WA BAKETSU NI MIZU O IREMASU.,2. JACK VULT EEN EMMER MET WATER.
14,3. HE PUTS SOAP IN THE WATER.,3. ELE COLOCA SABÃO NA ÁGUA.,3. PONE JABÓN EN EL AGUA.,3. METTE IL SAPONE NELL’ACQUA.,3. IL MET DU SAVON DANS L’EAU.,3. ER GIBT SEIFE INS WASSER.,3. 彼は水に石鹸を入れます。,3. かれはみずにせっけんをいれます。,3. KARE WA MIZU NI SEKKEN O IREMASU.,3. HIJ DOET ZEEP IN HET WATER.
14,4. MARIO PUTS ON AN APRON.,4. MARIO COLOCA UM AVENTAL.,4. MARIO SE PONE UN DELANTAL.,4. MARIO METTE UN GREMBALE.,4. MARIO MET UN TABLIER.,4. MARIO ZIEHT EINE SCHÜRZE AN.,4. マリオはエプロンを着ます。,4. マリオはエプロンをきます。,4. MARIO WA EPURON O KIMASU.,4. MARIO DOET EEN SCHORT AAN.
14,5. MARIO GETS A RAG.,5. MARIO PEGA UM PANINHO.,5. MARIO TOMA UN TRAPO.,5. MARIO PRENDE UN PEZZO DI STRACCIO.,5. MARIO PREND UN CHIFFON.,5. MARIO NIMMT EINEN LAPPEN.,5. マリオは布を取ります。,5. マリオはぬのをとります。,5. MARIO WA NUNO O TORIMASU.,5. MARIO NEEMT EEN DOEK.
14,6. HE DUSTS THE FURNITURE WITH THE RAG.,6. ELE TIRA O PO DO MOBILIÁRIO COM O PANINHO.,6. QUITA EL POLVO DE LOS MUEBLES CON EL TRAPO.,6. SPOLVERA I MOBILI CON IL PEZZO DI STRACCIO.,6. IL DÉPOUSSIÈRE LES MEUBLES AVEC LE CHIFFON.,6. ER ENTFERNT STAUB VON DEN MÖBELN MIT DEM LAPPEN.,6. 彼は布で家具のほこりを取ります。,6. かれはぬのでかぐのほこりをとります。,6. KARE WA NUNO DE KAGU NO HOKORI O TORIMASU.,6. HIJ STOFT HET MEUBEL AF MET HET DOEK.
14,7. THEY PUT BLEACH POWDER IN THE SINK.,7. ELES COLOCAM PÓ DE CLORO NA PIA.,7. PONEN POLVO DE LEJÍA EN EL FREGADERO.,7. METTONO POLVERE DI CANDEGGINA NEL LAVANDINO.,7. ILS METTENT DE LA POUDRE D’EAU DE JAVEL DANS L’ÉVIER.,7. SIE GEBEN BLEICHPULVER IN DAS SPÜLBACKEN.,7. 彼らはシンクに漂白剤を入れます。,7. かれらはシンクにひょうはくざいをいれます。,7. KARERA WA SHINKU NI HYŌHAKUZAI O IREMASU.,7. ZE DOEN BLEEKPOEDER IN DE GOOTSTEEN.
14,8. JACK SCRUBS THE SINK WITH A SPONGE.,8. JACK ESCOVA A PIA COM UMA ESPONJA.,8. JACK FRIEGA EL FREGADERO CON UNA ESPONJA.,8. JACK STROFINA IL LAVANDINO CON UNA SPUGNA.,8. JACK FROTTE L’ÉVIER AVEC UNE ÉPONGE.,8. JACK SCHRUBBT DAS SPÜLBACKEN MIT EINEM SCHWAMM.,8. ジャックはスポンジでシンクをこすります。,8. ジャックはスポンジでシンクをこすります。,8. JAKKU WA SUPONJI DE SHINKU O KOSURIMASU.,8. JACK SCHROBT DE GOOTSTEEN.
14,9. MARIO GETS A BROOM.,9. MARIO PEGA A VASSOURA.,"9. MARIO TOMA LA ESCOBA,",9. MARIO PRENDE LA SCOPA.,9. MARIO PREND LE BALAI.,9. MARIO NIMMT DEN BESEN.,9. マリオはほうきを取ります。,9. マリオはほうきをとります。,9. MARIO WA HŌKI O TORIMASU.,9. MARIO NEEMT DE BEZEM.
14,10. HE SWEEPS THE KITCHEN FLOOR.,10. ELE VARRE O CHÃO DA COZINHA.,10. ÉL BARRE EL SUELO DE LA COCINA.,10. LUI SPAZZA IL PAVIMENTO DELLA CUCINA.,10. IL BALAYE LE SOL DE LA CUISINE.,10. ER FEGT DEN KÜCHENBODEN.,10. 彼は台所の床を掃きます。,10. かれはだいどころのゆかをはきます。,10. KARE WA DAIDOKORO NO YUKA O HAKIMASU.,10. HIJ VEGT DE KEUKENVLOER.
14,11. JACK MOPS THE KITCHEN FLOOR.,11. JACK PASSA PANO NO CHÃO DA COZINHA.,11. JACK TRAPEA EL SUELO DE LA COCINA.,11. JACK PASSA LO STRACCIO SUL PAVIMENTO DELLA CUCINA.,11. JACK LAVE LE SOL DE LA CUISINE.,11. JACK WISCHT DEN KÜCHENBODEN.,11. ジャックは台所の床を拭きます。,11. ジャックはだいどころのゆかをふきます。,11. JAKKU WA DAIDOKORO NO YUKA O FUKIMASU.,11. JACK DOEKT DE KEUKENVLOER.
14,12. JACK VACUUMS THE RUG.,12. JACK ASPIRA O TAPETE.,12. JACK ASPIRA LA ALFOMBRA.,12. JACK ASPIRA IL TAPPETO.,12. JACK ASPIRERA LE TAPIS.,12. JACK SAUGT DEN TEPPICH.,12. ジャックはじゅうたんを掃除します。,12. ジャックはじゅうたんをそうじします。,12. JAKKU WA JŪTAN O SŌJI SHIMASU.,12. JACK STOFT HET TAPIJT AF.
14,13. JACK PUTS THE TRASH IN THE TRASH CAN.,13. JACK COLOCA O LIXO NA LIXEIRA.,13. JACK PONE LA BASURA EN LA PAPELERA.,13. JACK METTE LA SPAZZATURA NEL CESTINO.,13. JACK MET LES ORDURES DANS LA POUBELLE.,13. JACK LEGT DEN MÜLL IN DEN MÜLLEIMER.,13. ジャックはゴミをゴミ箱に入れます。,13. ジャックはごみをごみばこにいれます。,13. JAKKU WA GOMI O GOMIBAKO NI IREMASU.,13. JACK DOET HET AFVAL IN DE PRULLENBAK.
14,14. THE HOUSE IS CLEAN.,14. A CASA ESTÁ LIMPA.,14. LA CASA ESTÁ LIMPIA.,14. LA CASA È PULITA.,14. LA MAISON EST PROPRE.,14. DAS HAUS IST SAUBER.,14. 家はきれいです。,14. いえはきれいです。,14. IE WA KIREI DESU.,14. HET HUIS IS SCHOON.
15,1. LUCAS CARRIES AN EXPENSIVE CERAMIC MUG.,1. LUCAS CARREGA UMA CANECA CERÂMICA CARA.,1. LUCAS LLEVA UNA TAZA DE CERÁMICA CARA.,1. LUCAS PORTA UNA TAZZA DI CERAMICA COSTOSA.,1. LUCAS PORTE UNE TASSE EN CÉRAMIQUE CHÈRE.,1. LUCAS TRÄGT EINE TEURE KERAMIKTASSE.,1. ルーカスは高価な陶器のマグカップを持ちます。,1. ルーカスはこうかなとうきのマグカップをもちます。,1. RŪKASU WA KŌKA NA TŌKI NO MAGUKAPPU O MOCHIMASU.,1. LUCAS DRAAGT EEN DUUR CERAMIEKBEKERTJE.
15,2. HE WALKS TO THE TABLE.,2. ELE CAMINHA ATÉ A MESA.,2. ÉL CAMINA HACIA LA MESA.,2. LUI VA VERSO IL TAVOLO.,2. IL VA VERS LA TABLE.,2. ER GEHT ZUM TISCH.,2. 彼はテーブルに歩きます。,2. かれはテーブルにあるきます。,2. KARE WA TĒBURU NI ARUKIMASU.,2. HIJ LOOPT NAAR DE TAFEL.
15,3. HE DROPS THE MUG.,3. ELE DEIXA CAIR A CANECA.,3. ÉL DEJA CAER LA TAZA.,3. LUI FA CADERE LA TAZZA.,3. IL LAISSE TOMBER LA TASSE.,3. ER LÄSST DIE TASSE FALLEN.,3. 彼はマグカップを落とします。,3. かれはマグカップをおとします。,3. KARE WA MAGUKAPPU O OTOSIMASU.,3. HIJ LAAT DE BEKER VALLEN.
15,4. THE MUG BREAKS.,4. A CANECA QUEBRA.,4. LA TAZA SE ROMPE.,4. LA TAZZA SI ROMPE.,4. LA TASSE SE CASSE.,4. DIE TASSE BRICHT.,4. マグカップが割れます。,4. マグカップがわれます。,4. MAGUKAPPU GA WAREMASU.,4. DE BEKER BRENGT.
15,5. HE STEPS BACK.,5. ELE DÁ UM PASSO PARA TRÁS.,5. ÉL DA UN PASO ATRÁS.,5. LUI FA UN PASSO INDIETRO.,5. IL RECULE D’UN PAS.,5. ER TRETTET ZURÜCK.,5. 彼は後ろに下がります。,5. かれはうしろにさがります。,5. KARE WA USHIRO NI SAGARIMASU.,5. HIJ STAPT ACHTERUIT.
15,6. HE LOOKS AT THE BROKEN MUG.,6. ELE OLHA PARA A CANECA QUEBRADA.,6. ÉL MIRA LA TAZA ROTA.,6. LUI GUARDA LA TAZZA ROTTA.,6. IL REGARDE LA TASSE CASSÉE.,6. ER SIEHT DIE GEBROCHENE TASSE AN.,6. 彼は割れたマグカップを見ます。,6. かれはわれたマグカップをみます。,6. KARE WA WARETA MAGUKAPPU O MIMASU.,6. HIJ KIJKT NAAR DE GEBROCHEN BEKER.
15,7. HE GETS THE BROOM.,7. ELE PEGA A VASSOURA.,7. ÉL TOMA LA ESCOba.,7. LUI PRENDE LA SCOPA.,7. IL PREND LE BALAI.,7. ER NIMMT DEN BESEN.,7. 彼はほうきを取ります。,7. かれはほうきをとります。,7. KARE WA HŌKI O TORIMASU.,7. HIJ NEEMT DE BEZEM.
15,8. HE GETS THE DUSTPAN.,8. ELE PEGA A PA DE LIXO.,8. ÉL TOMA EL RECIPIENTE DE BASURA.,8. LUI PRENDE LA PALETTA.,8. IL PREND LA PELLE.,8. ER NIMMT DIE KEHRSCHAUFEL.,8. 彼はちりとりを取ります。,8. かれはちりとりをとります。,8. KARE WA CHIRITORI O TORIMASU.,8. HIJ NEEMT DE STROOPPAAL.
15,9. HE SWEEPS THE BIG BROKEN PIECES.,9. ELE VARRE OS GRANDES PEDAÇOS QUEBRADOS.,9. ÉL BARRE LOS GRANDES PEDAZOS ROTOS.,9. LUI SPAZZA I GRANDI PEZZI ROTTI.,9. IL BALAYE LES GRANDS MORCEAUX CASSÉS.,9. ER FEGT DIE GROSSEN GEBROCHENEN STÜCKE.,9. 彼は大きな割れた破片を掃きます。,9. かれはおおきなわれたはへんをはきます。,9. KARE WA ŌKINA WARETA HAHEN O HAKIMASU.,9. HIJ VEGT DE GROTE STUKKEN.
15,10. HE THROWS THE BIG BROKEN PIECES IN THE TRASH CAN.,10. ELE JOGA OS GRANDES PEDAÇOS NA LIXEIRA.,10. ÉL TIRA LOS GRANDES PEDAZOS ROTOS EN LA PAPELERA.,10. LUI GETTA I GRANDI PEZZI ROTTI NEL CESTINO.,10. IL JETTE LES GRANDS MORCEAUX CASSÉS DANS LA POUBELLE.,10. ER WERFEN DIE GROSSEN GEBROCHENEN STÜCKE IN DEN MÜLLEIMER.,10. 彼は大きな割れた破片をゴミ箱に捨てます。,10. かれはおおきなわれたはへんをごみばこにすてます。,10. KARE WA ŌKINA WARETA HAHEN O GOMIBAKO NI SUTEMASU.,10. HIJ GOOIT DE GROTE STUKKEN IN DE PRULLENBAK.
15,11. HE SWEEPS THE SMALL BROKEN PIECES.,11. ELE VARRE OS PEQUENOS PEDAÇOS QUEBRADOS.,11. ÉL BARRE LOS PEDAZOS PEQUEÑOS ROTOS.,11. LUI SPAZZA I PEZZI PICCOLI ROTTI.,11. IL BALAYE LES PETITS MORCEAUX CASSÉS.,11. ER FEGT DIE KLEINEN GEBROCHENEN STÜCKE.,11. 彼は小さな割れた破片を掃きます。,11. かれはちいさなわれたはへんをはきます。,11. KARE WA CHIISANA WARETA HAHEN O HAKIMASU.,11. HIJ VEGT DE KLEINE STUKJES.
15,12. HE PUTS THE SMALL BROKEN PIECES INTO THE TRASH CAN.,12. ELE COLOCA OS PEQUENOS PEDAÇOS NA LIXEIRA.,12. ÉL PONE LOS PEDAZOS PEQUEÑOS ROTOS EN LA PAPELERA.,12. LUI METTE I PEZZI PICCOLI ROTTI NEL CESTINO.,12. IL MET LES PETITS MORCEAUX CASSÉS DANS LA POUBELLE.,12. SIE LEGT DIE KLEINEN GEBROCHENEN STÜCKE IN DEN MÜLLEIMER.,12. 彼は小さな割れた破片をゴミ箱に入れます。,12. かれはちいさなわれたはへんをごみばこにいれます。,12. KARE WA CHIISANA WARETA HAHEN O GOMIBAKO NI IREMASU.,12. HIJ DOET DE KLEINE STUKJES IN DE PRULLENBAK.
15,13. HE PUTS BACK THE BROOM AND THE DUSTPAN.,13. ELE COLOCA A VASSOURA E A PA DE LIXO DE VOLTA.,13. ÉL DEVUELVE LA ESCOba Y EL RECIPIENTE DE BASURA.,13. LUI RIPONE LA SCOPA E LA PALETTA.,13. IL REMET LE BALAI ET LA PELLE.,13. SIE STELLT DEN BESEN UND DIE KEHRSCHAUFEL ZURÜCK.,13. 彼はほうきとちりとりを戻します。,13. かれはほうきとちりとりをもどします。,13. KARE WA HŌKI TO CHIRITORI O MODOSHIMASU.,13. HIJ ZET DE BEZEM EN STROOPPAAL TERUG.
15,14. HE GETS A NEW MUG.,14. ELE PEGA UMA NOVA CANECA.,14. ÉL TOMA UNA NUEVA TAZA.,14. LUI PRENDE UNA NUOVA TAZZA.,14. IL PREND UNE NOUVELLE TASSE.,14. ER NIMMT EINE NEUE TASSE.,14. 彼は新しいマグカップを取ります。,14. かれはあたらしいマグカップをとります。,14. KARE WA ATARASHĪ MAGUKAPPU O TORIMASU.,14. HIJ NEEMT EEN NIEUWE BEKER.
16,1. MARINA WALKS TO THE PLAYGROUND.,1. MARINA CAMINHA ATÉ O PARQUE.,1. MARINA CAMINA HACIA EL PARQUE.,1. MARINA VA VERSO IL PARCO GIOCHI.,1. MARINA MARCHE VERS LE TERRAIN DE JEU.,1. MARINA GEHT ZUM SPIELPLATZ.,1. マリナは遊び場に歩きます。,1. マリナはあそびばにあるきます。,1. MARINA WA ASOBIBA NI ARUKIMASU.,1. MARINA LOOPT NAAR DE SPEELTUIN.
16,2. SHE SEES A BALL ON THE GROUND.,2. ELA VÊ UMA BOLA NO CHÃO.,2. ELLA VE UNA PELOTA EN EL SUELO.,2. LEI VEDE UNA PALLA A TERRA.,2. ELLE VOIT UNE BALLE PAR TERRE.,2. SIE SIEHT EINEN BALL AUF DEM BODEN.,2. 彼女は地面にボールを見ます。,2. かのじょはじめんにボールをみます。,2. KANOJO WA JIMEN NI BŌRU O MIMASU.,2. ZE ZIET EEN BAL OP DE GROND.
16,3. SHE KICKS THE BALL.,3. ELA CHUTA A BOLA.,3. ELLA PATEA LA PELOTA.,3. LEI CALCIA LA PALLA.,3. ELLE DONNE UN COUP DE PIED À LA BALLE.,3. SIE TRETET DEN BALL.,3. 彼女はボールを蹴ります。,3. かのじょはボールをけります。,3. KANOJO WA BŌRU O KERIMASU.,3. ZE TRAPT DE BAL.
16,4. THE BALL HITS A TREE.,4. A BOLA BATE EM UMA ÁRVORE.,4. LA PELOTA GOLPEA UN ÁRBOL.,4. LA PALLA COLPISCE UN ALBERO.,4. LA BALLE FRAPPE UN ARBRE.,4. DER BALL TRIFFT EINEN BAUM.,4. ボールが木に当たります。,4. ボールがきにあたります。,4. BŌRU GA KI NI ATARIMASU.,4. DE BAL TREFT EEN BOOM.
16,5. SHE RUNS TO GET THE BALL.,5. ELA CORRE PARA PEGAR A BOLA.,5. ELLA CORRE A POR LA PELOTA.,5. LEI CORRE A PRENDERE LA PALLA.,5. ELLE COURT POUR ATTRAPER LA BALLE.,"5. SIE LÄUFT, UM DEN BALL ZU HOLEN.",5. 彼女はボールを取るために走ります。,5. かのじょはボールをとるためにはしります。,5. KANOJO WA BŌRU O TORU TAME NI HASHIRIMASU.,5. ZE RENNT OM DE BAL TE PAKKEN.
16,6. SHE TRIPS ON THE GRASS.,6. ELA TROPEÇA NA GRAMA.,6. ELLA TROPIEZA EN EL CÉSPED.,6. LEI INCIAMPA SULL’ERBA.,6. ELLE TRIPLE SUR L’HERBE.,6. SIE STOLPERT IM GRAS.,6. 彼女は草でつまずきます。,6. かのじょはくさでつまずきます。,6. KANOJO WA KUSA DE TSUMAZUKIMASU.,6. ZE STRUIKELT OP HET GRAS.
16,7. SHE FALLS FORWARD.,7. ELA CAI PARA A FRENTE.,7. ELLA SE CAE HACIA ADELANTE.,7. LEI CADE IN AVANTI.,7. ELLE TOMBE EN AVANT.,7. SIE FÄLLT NACH VORN.,7. 彼女は前に倒れます。,7. かのじょはまえにたおれます。,7. KANOJO WA MAE NI TAOREMASU.,7. ZE VALT VOOROVER.
16,8. SHE TOUCHES HER HAND.,8. ELA TOCA A MÃO.,8. ELLA TOCA SU MANO.,8. LEI TOCCA LA MANO.,8. ELLE TOUCHE SA MAIN.,8. SIE BERÜHRT IHRE HAND.,8. 彼女は手に触れます。,8. かのじょはてにふれます。,8. KANOJO WA TE NI FUREMASU.,8. ZE RAAKT HAAR HAND AAN.
16,9. HER HAND HURTS.,9. SUA MÃO DÓI.,9. SU MANO DUELE.,9. LA SUA MANO FA MALE.,9. SA MAIN FA MAL.,9. IHRE HAND TUT WEH.,9. 彼女の手が痛いです。,9. かのじょのてがいたいです。,9. KANOJO NO TE GA ITAI DESU.,9. HAAR HAND DOET PIJN.
16,10. SHE CRIES A LITTLE.,10. ELA CHORA UM POUCO.,10. ELLA LLORA UN POCO.,10. LEI PIANGE UN PO’ DI PIÙ.,10. ELLE PLEURE UN PEU.,10. SIE WEINT EIN WENIG.,10. 彼女は少し泣きます。,10. かのじょはすこしなきます。,10. KANOJO WA SUKOSHI NAKIMASU.,10. ZE HUILT EEN BEETJE.
16,11. SHE STANDS UP SLOWLY.,11. ELA SE LEVANTA DEVAGAR.,11. ELLA SE LEVANTA DESPACIO.,11. LEI SI ALZA LENTAMENTE.,11. ELLE SE LÈVE LENTEMENT.,11. SIE STEHT LANGSAM AUF.,11. 彼女はゆっくり立ちます。,11. かのじょはゆっくりたちます。,11. KANOJO WA YUKKURI TACHIMASU.,11. ZE STAAT LANGZAAM OP.
16,12. SHE TAKES A TISSUE OUT OF HER POCKET.,12. ELA PEGA UM LENÇO DO BOLSO.,12. ELLA SACA UN PAÑUELO DEL BOLSILLO.,12. LEI PRENDE UN FAZZOLETTO DALLA TASCA.,12. ELLE PREND UN MOUCHOIR DE SA POCHE.,12. SIE NEHMT EIN TASCHENTUCH AUS DER TASCHE.,12. 彼女はポケットからティッシュを取ります。,12. かのじょはポケットからティッシュをとります。,12. KANOJO WA POKETTO KARA TISSHU O TORIMASU.,12. ZE NEEMT EEN ZAKDOEK UIT HAAR ZAK.
16,13. SHE WIPES HER HAND WITH THE TISSUE.,13. ELA LIMPA A MÃO COM O LENÇO.,13. ELLA SE LIMPIA LA MANO CON EL PAÑUELO.,13. LEI SI PULISCE LA MANO CON IL FAZZOLETTO.,13. ELLE S’ESSUIE LA MAIN AVEC LE MOUCHOIR.,13. SIE WISCHT IHRE HAND MIT DEM TASCHENTUCH.,13. 彼女はティッシュで手を拭きます。,13. かのじょはティッシュでてをふきます。,13. KANOJO WA TISSHU DE TE O FUKIMASU.,13. ZE VEGT HAAR HAND AF MET DE ZAKDOEK.
16,14. SHE WALKS TO A BENCH.,14. ELA CAMINHA ATÉ UM BANCO.,14. ELLA CAMINA HACIA UN BANCO.,14. LEI VA VERSO UNA PANCHINA.,14. ELLE MARCHE VERS UN BANC.,14. SIE GEHT ZU EINER BANK.,14. 彼女はベンチに歩きます。,14. かのじょはベンチにあるきます。,14. KANOJO WA BENCHI NI ARUKIMASU.,14. ZE LOOPT NAAR EEN BANK.
16,15. SHE SITS AND BREATHES DEEPLY.,15. ELA SE SENTA E RESPIRA FUNDO.,15. ELLA SE SIENTA Y RESPIRA PROFUNDAMENTE.,15. LEI SI SIEDE E RESPIRA PROFONDAMENTE.,15. ELLE S’ASSOIT ET RESPIRÉ PROFONDEMENT.,15. SIE SETZT SICH UND ATMET TIEF EIN.,15. 彼女は座って深く息をします。,15. かのじょはすわってふかくいきをします。,15. KANOJO WA SUWATTE FUKAKU IKI O SHIMASU.,15. ZE GAAT ZITTEN EN HAALT DIEP ADEM.
16,16. SHE GETS A BANDAGE FROM HER BAG.,16. ELA PEGA UM CURATIVO DA BOLSA.,16. ELLA TOMA UNA VENDA DE SU BOLSO.,16. LEI PRENDE UN CEROTTO DALLA BORSA.,16. ELLE PREND UN PANSEMENT DE SON SAC.,16. SIE NIMMT EINEN VERBAND AUS DER TASCHE.,16. 彼女はバッグから包帯を取ります。,16. かのじょはバッグからほうたいをとります。,16. KANOJO WA BAGGU KARA HŌTAI O TORIMASU.,16. ZE NEEMT EEN VERBAND UIT HAAR TAS.
