STORY,en,pt,es,it,fr,de,ja,HIRAGANA,ROMAJI
6,3. SHE FILLS THE COFFEE MACHINE WITH WATER.,3. ELA ENCHE A MÁQUINA DE CAFÉ COM ÁGUA.,3. ELLA LLENA LA CAFETERA CON AGUA.,3. LEI RIEMPIE LA MACCHINA DEL CAFFÈ D’ACQUA.,3. ELLE REMPLIT LA MACHINE À CAFÉ D’EAU.,3. SIE FÜLLT DIE KAFFeemaschine MIT WASSER.,3. 彼女はコーヒーメーカーに水を入れる。,3. かのじょはコーヒーメーカーにみずをいれる。,3. KANOJO WA KŌHĪMĒKĀ NI MIZU WO IRERU.
6,4. SHE PUTS COFFEE IN THE FILTER.,4. ELA COLOCA CAFÉ NO FILTRO.,4. ELLA PONE CAFÉ EN EL FILTRO.,4. LEI METTE IL CAFFÈ NEL FILTRO.,4. ELLE MET LE CAFÉ DANS LE FILTRE.,4. SIE GIBT KAFFEE IN DEN FILTER.,4. 彼女はフィルターにコーヒーを入れる。,4. かのじょはフィルターにコーヒーをいれる。,4. KANOJO WA FIRUTĀ NI KŌHĪ WO IRERU.
6,5. SHE TURNS ON THE COFFEE MACHINE.,5. ELA LIGA A MÁQUINA DE CAFÉ.,5. ELLA ENCIENDE LA CAFETERA.,5. LEI ACCENDE LA MACCHINA DEL CAFFÈ.,5. ELLE ALLUME LA MACHINE À CAFÉ.,5. SIE SCHALTE DIE KAFFeemaschine EIN.,5. 彼女はコーヒーメーカーをつける。,5. かのじょはコーヒーメーカーをつける。,5. KANOJO WA KŌHĪMĒKĀ WO TSUKERU.
6,6. THE COFFEE SMELLS GOOD.,6. O CAFÉ CHEIRA BEM.,6. EL CAFÉ HUELE BIEN.,6. IL CAFFÈ ODORA BENE.,6. LE CAFÉ SENT BON.,6. DER KAFFEE RIECHT GUT.,6. コーヒーはいい香りがする。,6. コーヒーはいいかおりがする。,6. KŌHĪ WA II KAORI GA SURU.
6,7. SHE POURS COFFEE INTO A CUP.,7. ELA DESPEJA O CAFÉ EM UMA XÍCARA.,7. ELLA VIERTE EL CAFÉ EN UNA TAZA.,7. LEI VERSA IL CAFFÈ IN UNA TAZZA.,7. ELLE VERSE LE CAFÉ DANS UNE TASSE.,7. SIE GIEßT DEN KAFFEE IN EINE TASSE.,7. 彼女はコーヒーをカップに注ぐ。,7. かのじょはコーヒーをカップにそそぐ。,7. KANOJO WA KŌHĪ WO KAPPU NI SOSOGU.
6,8. SHE ADDS SUGAR.,8. ELA ADICIONA AÇÚCAR.,8. ELLA AGREGA AZÚCAR.,8. LEI AGGIUNGE ZUCCHERO.,8. ELLE AJOUTE DU SUCRE.,8. SIE FÜGT ZUCKER HINZU.,8. 彼女は砂糖を入れる。,8. かのじょはさとうをいれる。,8. KANOJO WA SATŌ WO IRERU.
6,9. SHE ADDS MILK.,9. ELA ADICIONA LEITE.,9. ELLA AGREGA LECHE.,9. LEI AGGIUNGE LATTE.,9. ELLE AJOUTE DU LAIT.,9. SIE FÜGT MILCH HINZU.,9. 彼女はミルクを入れる。,9. かのじょはミルクをいれる。,9. KANOJO WA MIRUKU WO IRERU.
6,10. SHE STIRS THE COFFEE.,10. ELA MEXE O CAFÉ.,10. ELLA REVUELVE EL CAFÉ.,10. LEI MESCOLA IL CAFFÈ.,10. ELLE REMUE LE CAFÉ.,10. SIE RÜHRT DEN KAFFEE UM.,10. 彼女はコーヒーをかき混ぜる。,10. かのじょはコーヒーをかきまぜる。,10. KANOJO WA KŌHĪ WO KAKIMAZERU.
6,11. SHE DRINKS THE COFFEE AND ENJOYS IT.,11. ELA BEBE O CAFÉ E APROVEITA.,11. ELLA BEBE EL CAFÉ Y LO DISFRUTA.,11. LEI BEVE IL CAFFÈ E LO GUSTA.,11. ELLE BOIT LE CAFÉ ET L’APPRÉCIE.,11. SIE TRINKT DEN KAFFEE UND GENIEßT IHN.,11. 彼女はコーヒーを飲んで楽しむ。,11. かのじょはコーヒーをのんでたのしむ。,11. KANOJO WA KŌHĪ WO NONDE TANOSHIMU.
7,1. TYRONE HEARS HIS CAT MEOW.,1. TYRONE OUVE SEU GATO MIAR.,1. TYRONE OYE A SU GATO MAULLAR.,1. TYRONE SENTE IL GATTO MIAGOLARE.,1. TYRONE ENTEND SON CHAT MIAULER.,1. TYRONE HÖRT SEINE KATZE MIAUEN.,1. タイロンは猫の鳴き声を聞く。,1. タイロンはねこのなきごえをきく。,1. TAIRON WA NEKO NO NAKIGOE WO KIKU.
7,2. HE WALKS TO THE KITCHEN.,2. ELE CAMINHA ATÉ A COZINHA.,2. ÉL CAMINA HACIA LA COCINA.,2. LUI CAMMINA IN CUCINA.,2. IL MARCHE VERS LA CUISINE.,2. ER GEHT IN DIE KÜCHE.,2. 彼はキッチンに歩く。,2. かれはキッチンにあるく。,2. KARE WA KITCHIN NI ARUKU.
7,3. HE TAKES A BOWL FROM THE SHELF.,3. ELE PEGA UMA TIGELA DA PRATELEIRA.,3. ÉL TOMA UN BOL DEL ESTANTE.,3. LUI PRENDE UNA CIOTOLA DAL RIPIANO.,3. IL PREND UN BOL DE L’ÉTAGÈRE.,3. ER NIMMT EINE SCHÜSSEL VOM REGAL.,3. 彼は棚からボウルを取る。,3. かれはたなからボウルをとる。,3. KARE WA TANA KARA BŌRU WO TORU.
7,4. HE OPENS A CAN OF CAT FOOD.,4. ELE ABRE UMA LATA DE RAÇÃO.,4. ÉL ABRE UNA LATA DE COMIDA PARA GATO.,4. LUI APRE UNA LATTA DI CIBO PER GATTI.,4. IL OUVRE UNE BOÎTE DE NOURRITURE POUR CHAT.,4. ER ÖFFNET EINE DOSE KATZENFUTTER.,4. 彼は猫の餌の缶を開ける。,4. かれはねこのえのかんをあける。,4. KARE WA NEKO NO E NO KAN WO AKERU.
7,5. HE PUTS THE CAT FOOD IN THE BOWL.,5. ELE COLOCA A RAÇÃO NA TIGELA.,5. ÉL PONE LA COMIDA EN EL BOL.,5. LUI METTE IL CIBO NELLA CIOTOLA.,5. IL MET LA NOURRITURE DANS LE BOL.,5. ER GIBT DAS FUTTER IN DIE SCHÜSSEL.,5. 彼は餌をボウルに入れる。,5. かれはえをボウルにいれる。,5. KARE WA E WO BŌRU NI IRERU.
7,6. HE FILLS ANOTHER BOWL WITH WATER.,6. ELE ENCHE OUTRA TIGELA COM ÁGUA.,6. ÉL LLENA OTRA BOL CON AGUA.,6. LUI RIEMPIE UN’ALTRA CIOTOLA D’ACQUA.,6. IL REMPLIT UN AUTRE BOL D’EAU.,6. ER FÜLLT EINE ANDERE SCHÜSSEL MIT WASSER.,6. 彼は別のボウルに水を入れる。,6. かれはべつのボウルにみずをいれる。,6. KARE WA BETSU NO BŌRU NI MIZU WO IRERU.
7,7. THE CAT EATS QUICKLY.,7. O GATO COME RÁPIDO.,7. EL GATO COME RÁPIDO.,7. IL GATTO MANGIA VELOCEMENTE.,7. LE CHAT MANGE RAPIDEMENT.,7. DIE KATZE FRISST SCHNELL.,7. 猫は素早く食べる。,7. ねこはすばやくたべる。,7. NEKO WA SUBAYAKU TABERU.
7,8. HE WATCHES THE CAT EAT THE FOOD.,8. ELE OBSERVA O GATO COMER A RAÇÃO.,8. ÉL OBSERVA AL GATO COMER LA COMIDA.,8. LUI GUARDA IL GATTO MANGIARE IL CIBO.,8. IL REGARDE LE CHAT MANGER LA NOURRITURE.,"8. ER SIEHT ZU, WIE DIE KATZE DAS FUTTER FRISST.",8. 彼は猫が餌を食べるのを見守る。,8. かれはねこがえをたべるのをみまもる。,8. KARE WA NEKO GA E WO TABERU NO WO MIMAMORU.
7,9. THE CAT FINISHES AND LICKS ITS PAWS.,9. O GATO TERMINA E LAMBE AS PATAS.,9. EL GATO TERMINA Y SE LAME LAS PATAS.,9. IL GATTO FINISCE E LECCA LE ZAMPE.,9. LE CHAT FINIT ET SE LÈCHE LES PATTES.,9. DIE KATZE IST FERTIG UND LECKT IHRE PFOTEN.,9. 猫は食べ終えて手を舐める。,9. ねこはたべおえててをなめる。,9. NEKO WA TABEOETE TE WO NAMERU.
7,10. HE PETS THE CAT AND SMILES.,10. ELE FAZ CARINHO NO GATO E SORRI.,10. ÉL ACARICIA AL GATO Y SONRÍE.,10. LUI ACCAREZZA IL GATTO E SORRIDE.,10. IL CÂLINE LE CHAT ET SOURIT.,10. ER STREICHELT DIE KATZE UND LÄCHELT.,10. 彼は猫を撫でて微笑む。,10. かれはねこをなでてほほえむ。,10. KARE WA NEKO WO NADETE HOHOEMU.
8,1. JEFF GETS A BOX OF CEREAL.,1. JEFF PEGA UMA CAIXA DE CEREAIS.,1. JEFF TOMA UNA CAJA DE CEREALES.,1. JEFF PRENDE UNA SCATOLA DI CEREALI.,1. JEFF PREND UNE BOÎTE DE CÉRÉALES.,1. JEFF NIMMT EINE SCHACHTEL MÜSLI.,1. ジェフはシリアルの箱を取る。,1. ジェフはシリアルのはこをとる。,1. JEFU WA SHIRIALU NO HAKO WO TORU.
8,"2. A BOWL, A SPOON, AND A PLATE.","2. UMA TIGELA, UMA COLHER E UM PRATO.","2. UN BOL, UNA CUCHARA Y UN PLATO.","2. UNA CIOTOLA, UN CUCCHIAIO E UN PIATTO.","2. UN BOL, UNE CUILLÈRE ET UNE ASSIETTE.","2. EINE SCHÜSSEL, EIN LÖFFEL UND EIN TELLER.",2. ボウル、スプーン、皿。,2. ボウル、スプーン、さら。,"2. BŌRU, SUPŪN, SARA."
8,3. HE OPENS THE BOX OF CEREAL.,3. ELE ABRE A CAIXA DE CEREAIS.,3. ÉL ABRE LA CAJA DE CEREALES.,3. LUI APRE LA SCATOLA DI CEREALI.,3. IL OUVRE LA BOÎTE DE CÉRÉALES.,3. ER ÖFFNET DIE MÜSLI-SCHACHTEL.,3. 彼はシリアルの箱を開ける。,3. かれはシリアルのはこをあける。,3. KARE WA SHIRIALU NO HAKO WO AKERU.
8,4. HE PUTS CEREAL IN THE BOWL.,4. ELE COLOCA CEREAIS NA TIGELA.,4. ÉL PONE CEREALES EN EL BOL.,4. LUI METTE I CEREALI NELLA CIOTOLA.,4. IL MET LES CÉRÉALES DANS LE BOL.,4. ER GIBT MÜSLI IN DIE SCHÜSSEL.,4. 彼はシリアルをボウルに入れる。,4. かれはシリアルをボウルにいれる。,4. KARE WA SHIRIALU WO BŌRU NI IRERU.
8,"5. HE SPILLS CEREAL ON THE PLATE, AND ON THE TABLE.",5. ELE DERRAMA CEREAIS NO PRATO E NA MESA.,5. ÉL DERRAMA CEREALES EN EL PLATO Y EN LA MESA.,5. LUI SPARA I CEREALI SUL PIATTO E SUL TAVOLO.,5. IL RENVERSE LES CÉRÉALES SUR L’ASSIETTE ET SUR LA TABLE.,5. ER VERSCHÜTTET MÜSLI AUF DEN TELLER UND DEN TISCH.,5. 彼はシリアルを皿とテーブルにこぼす。,5. かれはシリアルをさらとテーブルにこぼす。,5. KARE WA SHIRIALU WO SARA TO TĒBURU NI KOBOSU.
8,6. HE GETS THE CEREAL FROM THE PLATE.,6. ELE PEGA OS CEREAIS DO PRATO.,6. ÉL TOMA LOS CEREALES DEL PLATO.,6. LUI PRENDE I CEREALI DAL PIATTO.,6. IL PREND LES CÉRÉALES DE L’ASSIETTE.,6. ER NIMMT DAS MÜSLI VOM TELLER.,6. 彼は皿からシリアルを取る。,6. かれはさらからシリアルをとる。,6. KARE WA SARA KARA SHIRIALU WO TORU.
8,7. AND PUTS IT IN THE BOWL.,7. E COLOCA NA TIGELA.,7. Y LOS PONE EN EL BOL.,7. E LI METTE NELLA CIOTOLA.,7. ET LES MET DANS LE BOL.,7. UND LEGT SIE IN DIE SCHÜSSEL.,7. それをボウルに入れる。,7. それをボウルにいれる。,7. SORE WO BŌRU NI IRERU.
8,8. HE CLOSES THE BOX OF CEREAL.,8. ELE FECHA A CAIXA DE CEREAIS.,8. ÉL CIERRA LA CAJA DE CEREALES.,8. LUI CHIUDE LA SCATOLA DI CEREALI.,8. IL FERME LA BOÎTE DE CÉRÉALES.,8. ER SCHLIESST DIE MÜSLI-SCHACHTEL.,8. 彼はシリアルの箱を閉める。,8. かれはシリアルのはこをしめる。,8. KARE WA SHIRIALU NO HAKO WO SHIMERU.
8,9. HE GETS SUGAR.,9. ELE PEGA AÇÚCAR.,9. ÉL TOMA AZÚCAR.,9. LUI PRENDE ZUCCHERO.,9. IL PREND DU SUCRE.,9. ER NIMMT ZUCKER.,9. 彼は砂糖を取る。,9. かれはさとうをとる。,9. KARE WA SATŌ WO TORU.
8,10. HE PUTS SUGAR IN THE BOWL WITH A SPOON.,10. ELE COLOCA AÇÚCAR NA TIGELA COM UMA COLHER.,10. ÉL PONE AZÚCAR EN EL BOL CON UNA CUCHARA.,10. LUI METTE ZUCCHERO NELLA CIOTOLA CON UN CUCCHIAIO.,10. IL MET LE SUCRE DANS LE BOL AVEC UNE CUILLÈRE.,10. ER GIBT ZUCKER IN DIE SCHÜSSEL MIT EINEM LÖFFEL.,10. 彼はスプーンでボウルに砂糖を入れる。,10. かれはスプーンでボウルにさとうをいれる。,10. KARE WA SUPŪN DE BŌRU NI SATŌ WO IRERU.
8,11. HE GETS MILK.,11. ELE PEGA LEITE.,11. ÉL TOMA LECHE.,11. LUI PRENDE LATTE.,11. IL PREND DU LAIT.,11. ER NIMMT MILCH.,11. 彼はミルクを取る。,11. かれはミルクをとる。,11. KARE WA MIRUKU WO TORU.
8,12. HE POURS MILK IN THE BOWL.,12. ELE DESPEJA LEITE NA TIGELA.,12. ÉL VIERTE LECHE EN EL BOL.,12. LUI VERSA IL LATTE NELLA CIOTOLA.,12. IL VERSE LE LAIT DANS LE BOL.,12. ER GIEßT MILCH IN DIE SCHÜSSEL.,12. 彼はボウルにミルクを注ぐ。,12. かれはボウルにミルクをそそぐ。,12. KARE WA BŌRU NI MIRUKU WO SOSOGU.
8,13. HE EATS CEREAL WITH MILK.,13. ELE COME CEREAIS COM LEITE.,13. ÉL COME CEREALES CON LECHE.,13. LUI MANGIA CEREALI CON LATTE.,13. IL MANGE DES CÉRÉALES AVEC DU LAIT.,13. ER ISST MÜSLI MIT MILCH.,13. 彼はミルク入りのシリアルを食べる。,13. かれはミルクいりのシリアルをたべる。,13. KARE WA MIRUKU IRI NO SHIRIALU WO TABERU.
8,14. HE CHEWS.,14. ELE MASTIGA.,14. ÉL MASTICA.,14. LUI MASTICA.,14. IL MÂCHE.,14. ER KAUEN.,14. 彼は噛む。,14. かれはかむ。,14. KARE WA KAMU.
8,15. HE SWALLOWS.,15. ELE ENGOLE.,15. ÉL TRAGA.,15. LUI DEGLUTISCE.,15. IL AVALÉ.,15. ER SCHLUCKT.,15. 彼は飲み込む。,15. かれはのみこむ。,15. KARE WA NOMIKOMU.
9,1. SARAH GRABS A BOOK FROM THE SHELF.,1. SARAH PEGA UM LIVRO DA PRATELEIRA.,1. SARAH TOMA UN LIBRO DEL ESTANTE.,1. SARAH PRENDE UN LIBRO DAL RIPIANO.,1. SARAH PREND UN LIVRE DE L’ÉTAGÈRE.,1. SARAH NIMMT EIN BUCH VOM REGAL.,1. サラは棚から本を取る。,1. サラはたなからほんをとる。,1. SARA WA TANA KARA HON WO TORU.
9,2. SHE SITS DOWN IN A COMFORTABLE CHAIR.,2. ELA SE SENTA EM UMA POLTRONA CONFORTÁVEL.,2. ELLA SE SIENTA EN UN SILLÓN CÓMODO.,2. LEI SI SIEDA IN UNA POLTRONA COMODA.,2. ELLE S’ASSOIT DANS UN FAUTEUIL CONFORTABLE.,2. SIE SETZT SICH IN EINEN BEQUEMEN STUHL.,2. 彼女は快適な椅子に座る。,2. かのじょはかいてきないすにすわる。,2. KANOJO WA KAITEKI NA ISU NI SUWARU.
9,3. SHE OPENS THE BOOK.,3. ELA ABRE O LIVRO.,3. ELLA ABRE EL LIBRO.,3. LEI APRE IL LIBRO.,3. ELLE OUVRE LE LIVRE.,3. SIE ÖFFNET DAS BUCH.,3. 彼女は本を開く。,3. かのじょはほんをひらく。,3. KANOJO WA HON WO HIRAKU.
9,4. SHE BEGINS READING THE FIRST PAGE.,4. ELA COMEÇA A LER A PRIMEIRA PÁGINA.,4. ELLA EMPIEZA A LEER LA PRIMERA PÁGINA.,4. LEI INIZIA A LEGGERE LA PRIMA PAGINA.,4. ELLE COMMENCE À LIRE LA PREMIÈRE PAGE.,4. SIE BEGINNT DIE ERSTE SEITE ZU LESEN.,4. 彼女は最初のページを読み始める。,4. かのじょはさいしょのページをよみはじめる。,4. KANOJO WA SAISHO NO PĒJI WO YOMIHHAJIMERU.
9,5. SHE FLIPS THE PAGE.,5. ELA VIRÁ A PÁGINA.,5. ELLA PASA LA PÁGINA.,5. LEI GIRA LA PAGINA.,5. ELLE TOURNE LA PAGE.,5. SIE BLÄTTERT DIE SEITE UM.,5. 彼女はページをめくる。,5. かのじょはページをめくる。,5. KANOJO WA PĒJI WO MEKURU.
9,6. SHE READS CAREFULLY.,6. ELA LÊ COM ATENÇÃO.,6. ELLA LEE CON CUIDADO.,6. LEI LEGGE ATTENTAMENTE.,6. ELLE LIT ATTENTIVEMENT.,6. SIE LIEST AUFMERKSAM.,6. 彼女は注意深く読む。,6. かのじょはちゅういぶかくよむ。,6. KANOJO WA CHŪI BUKAKU YOMU.
9,7. SHE PAUSES TO THINK ABOUT THE STORY.,7. ELA PAUSA PARA PENSAR NA HISTÓRIA.,7. ELLA PAUSA PARA PENSAR EN LA HISTORIA.,7. LEI SI FERMA A PENSARE ALLA STORIA.,7. ELLE PAUSE POUR PENSER À L’HISTOIRE.,"7. SIE MACHT EINE PAUSE, UM ÜBER DIE GESCHICHTE NACHZUDENKEN.",7. 彼女は物語について考えるために一旦止まる。,7. かのじょはものがたりについてかんがえるためにいったんとまる。,7. KANOJO WA MONOGATARI NI TSUITE KANGAERU TAME NI ITTAN TOMARU.
9,8. SHE FINISHES READING THE BOOK.,8. ELA TERMINA DE LER O LIVRO.,8. ELLA TERMINA DE LEER EL LIBRO.,8. LEI FINISCE DI LEGGERE IL LIBRO.,8. ELLE TERMINE DE LIRE LE LIVRE.,8. SIE LESEN DAS BUCH FERTIG.,8. 彼女は本を読み終える。,8. かのじょはほんをよみおえる。,8. KANOJO WA HON WO YOMIOERU.
9,9. SHE CLOSES THE BOOK.,9. ELA FECHA O LIVRO.,9. ELLA CIERRA EL LIBRO.,9. LEI CHIUDE IL LIBRO.,9. ELLE FERME LE LIVRE.,9. SIE SCHLIESST DAS BUCH.,9. 彼女は本を閉じる。,9. かのじょはほんをとじる。,9. KANOJO WA HON WO TOJIRU.
10,1. MARINA WALKS TO THE KITCHEN.,1. MARINA CAMINHA ATÉ A COZINHA.,1. MARINA CAMINA HACIA LA COCINA.,1. MARINA CAMMINA IN CUCINA.,1. MARINA MARCHE VERS LA CUISINE.,1. MARINA GEHT IN DIE KÜCHE.,1. マリナはキッチンに歩く。,1. マリナはキッチンにあるく。,1. MARINA WA KITCHIN NI ARUKU.
10,2. SHE GETS THE KETTLE.,2. ELA PEGA O CHALEIRA.,2. ELLA TOMA LA TETERA.,2. LEI PRENDE IL BOLLITORE.,2. ELLE PREND LA THÉIÈRE.,2. SIE NIMMT DEN WASSERKOCHER.,2. 彼女はやかんを取る。,2. かのじょはやかんをとる。,2. KANOJO WA YAKAN WO TORU.
10,3. SHE PUTS WATER IN THE TEA KETTLE.,3. ELA COLOCA ÁGUA NA CHALEIRA.,3. ELLA PONE AGUA EN LA TETERA.,3. LEI METTE ACQUA NEL BOLLITORE.,3. ELLE MET DE L’EAU DANS LA THÉIÈRE.,3. SIE FÜLLT WASSER IN DEN WASSERKOCHER.,3. 彼女はやかんに水を入れる。,3. かのじょはやかんにみずをいれる。,3. KANOJO WA YAKAN NI MIZU WO IRERU.
10,4. SHE PUTS THE TEA KETTLE ON THE STOVE.,4. ELA COLOCA A CHALEIRA NO FOGÃO.,4. ELLA PONE LA TETERA EN LA ESTUFA.,4. LEI METTE IL BOLLITORE SUL FUOCO.,4. ELLE MET LA THÉIÈRE SUR LA CUISINIÈRE.,4. SIE STELLT DEN WASSERKOCHER AUF DEN HERD.,4. 彼女はやかんをコンロに置く。,4. かのじょはやかんをコンロにおく。,4. KANOJO WA YAKAN WO KONRO NI OKU.
10,5. SHE TURNS ON THE STOVE.,5. ELA LIGA O FOGÃO.,5. ELLA ENCIENDE LA ESTUFA.,5. LEI ACCENDE IL FUOCO.,5. ELLE ALLUME LA CUISINIÈRE.,5. SIE SCHALTE DEN HERD EIN.,5. 彼女はコンロをつける。,5. かのじょはコンロをつける。,5. KANOJO WA KONRO WO TSUKERU.
10,6. THE WATER IS HOT.,6. A ÁGUA ESTÁ QUENTE.,6. EL AGUA ESTÁ CALIENTE.,6. L’ACQUA È CALDA.,6. L’EAU EST CHAUDE.,6. DAS WASSER IST HEIß.,6. 水が熱い。,6. みずがあつい。,6. MIZU GA ATSUI.
10,7. SHE TURNS OFF THE STOVE.,7. ELA DESLIGA O FOGÃO.,7. ELLA APAGA LA ESTUFA.,7. LEI SPEGNE IL FUOCO.,7. ELLE ÉTEINT LA CUISINIÈRE.,7. SIE SCHALTE DEN HERD AUS.,7. 彼女はコンロを消す。,7. かのじょはコンロをけす。,7. KANOJO WA KONRO WO KESU.
10,8. SHE GETS A TEA BAG.,8. ELA PEGA UM SACHÊ DE CHÁ.,8. ELLA TOMA UNA BOLSA DE TÉ.,8. LEI PRENDE UNA BUSTINA DI TÈ.,8. ELLE PREND UN SACHET DE THÉ.,8. SIE NIMMT EIN TEEBEUTEL.,8. 彼女はティーバッグを取る。,8. かのじょはティーバッグをとる。,8. KANOJO WA TĪBAGGU WO TORU.
10,9. SHE PUTS THE TEA BAG IN THE CUP.,9. ELA COLOCA O SACHÊ DE CHÁ NA XÍCARA.,9. ELLA PONE LA BOLSA DE TÉ EN LA TAZA.,9. LEI METTE LA BUSTINA DI TÈ NELLA TAZZA.,9. ELLE MET LE SACHET DE THÉ DANS LA TASSE.,9. SIE GIBT DEN TEEBEUTEL IN DIE TASSE.,9. 彼女はティーバッグをカップに入れる。,9. かのじょはティーバッグをカップにいれる。,9. KANOJO WA TĪBAGGU WO KAPPU NI IRERU.
10,10. SHE POURS HOT WATER IN THE TEA CUP.,10. ELA DESPEJA ÁGUA QUENTE NA XÍCARA DE CHÁ.,10. ELLA VIERTE AGUA CALIENTE EN LA TAZA DE TÉ.,10. LEI VERSA ACQUA CALDA NELLA TAZZA DI TÈ.,10. ELLE VERSE DE L’EAU CHAUDE DANS LA TASSE DE THÉ.,10. SIE GIEßT HEISSES WASSER IN DIE TEETASSE.,10. 彼女はティーカップに熱いお湯を注ぐ。,10. かのじょはティーカップにあついおゆをそそぐ。,10. KANOJO WA TĪKAPPU NI ATSUI OYU WO SOSOGU.
10,11. SHE TAKES OUT THE TEA BAG.,11. ELA RETIRA O SACHÊ DE CHÁ.,11. ELLA SACA LA BOLSA DE TÉ.,11. LEI TOGLIE LA BUSTINA DI TÈ.,11. ELLE RETIRE LE SACHET DE THÉ.,11. SIE NIMMT DEN TEEBEUTEL HERAUS.,11. 彼女はティーバッグを取り出す。,11. かのじょはティーバッグをとりだす。,11. KANOJO WA TĪBAGGU WO TORIDASU.
10,12. SHE POURS MILK IN THE CUP.,12. ELA DESPEJA LEITE NA XÍCARA.,12. ELLA VIERTE LECHE EN LA TAZA.,12. LEI VERSA LATTE NELLA TAZZA.,12. ELLE VERSE DU LAIT DANS LA TASSE.,12. SIE GIEßT MILCH IN DIE TASSE.,12. 彼女はカップにミルクを注ぐ。,12. かのじょはカップにミルクをそそぐ。,12. KANOJO WA KAPPU NI MIRUKU WO SOSOGU.
10,13. SHE DRINKS THE TEA.,13. ELA BEBE O CHÁ.,13. ELLA BEBE EL TÉ.,13. LEI BEVE IL TÈ.,13. ELLE BOIT LE THÉ.,13. SIE TRINKT DEN TEE.,13. 彼女はお茶を飲む。,13. かのじょはおちゃをのむ。,13. KANOJO WA OCHA WO NOMU.
10,14. SHE GIVES A CUP OF TEA TO JOHN.,14. ELA DÁ UMA XÍCARA DE CHÁ PARA JOHN.,14. ELLA DA UNA TAZA DE TÉ A JOHN.,14. LEI DA UNA TAZZA DI TÈ A JOHN.,14. ELLE DONNE UNE TASSE DE THÉ À JOHN.,14. SIE GIBT JOHN EINE TASSE TEE.,14. 彼女はジョンにお茶を渡す。,14. かのじょはジョンにおちゃをわたす。,14. KANOJO WA JON NI OCHA WO WATASU.
11,1. JANE GETS TWO EGGS AND A FRYING PAN.,1. JANE PEGA DOIS OVOS E UMA FRIGIDEIRA.,1. JANE TOMA DOS HUEVOS Y UNA SARTÉN.,1. JANE PRENDE DUE UOVA E UNA PADELLA.,1. JANE PREND DEUX ŒUFS ET UNE POÊLE.,1. JANE NIMMT ZWEI EIER UND EINE PFANNE.,1. ジェーンは卵2個とフライパンを取る。,1. ジェーンはたまご2ことフライパンをとる。,1. JANE WA TAMAGO 2 KO TO FURAIPAN WO TORU.
11,2. SHE BREAKS THE EGGS IN THE BOWL.,2. ELA QUEBRA OS OVOS NA TIGELA.,2. ELLA ROMPE LOS HUEVOS EN EL BOL.,2. LEI ROMPE LE UOVA NELLA CIOTOLA.,2. ELLE CASSE LES ŒUFS DANS LE BOL.,2. SIE SCHLÄGT DIE EIER IN DIE SCHÜSSEL.,2. 彼女はボウルに卵を割る。,2. かのじょはボウルにたまごをわる。,2. KANOJO WA BŌRU NI TAMAGO WO WARU.
11,3. SHE PUTS SALT AND MILK IN THE BOWL.,3. ELA COLOCA SAL E LEITE NA TIGELA.,3. ELLA AGREGA SAL Y LECHE EN EL BOL.,3. LEI METTE SALE E LATTE NELLA CIOTOLA.,3. ELLE MET DU SEL ET DU LAIT DANS LE BOL.,3. SIE GIBT SALZ UND MILCH IN DIE SCHÜSSEL.,3. 彼女はボウルに塩とミルクを入れる。,3. かのじょはボウルにしおとミルクをいれる。,3. KANOJO WA BŌRU NI SHIO TO MIRUKU WO IRERU.
11,4. SHE STIRS THE EGGS.,4. ELA MEXE OS OVOS.,4. ELLA REVUELVE LOS HUEVOS.,4. LEI MESCOLA LE UOVA.,4. ELLE REMUE LES ŒUFS.,4. SIE RÜHRT DIE EIER UM.,4. 彼女は卵をかき混ぜる。,4. かのじょはたまごをかきまぜる。,4. KANOJO WA TAMAGO WO KAKIMAZERU.
11,5. SHE PUTS OIL IN THE FRYING PAN.,5. ELA COLOCA ÓLEO NA FRIGIDEIRA.,5. ELLA PONE ACEITE EN LA SARTÉN.,5. LEI METTE OLIO NELLA PADELLA.,5. ELLE MET DE L’HUILE DANS LA POÊLE.,5. SIE GIBT ÖL IN DIE PFANNE.,5. 彼女はフライパンに油を入れる。,5. かのじょはフライパンにあぶらをいれる。,5. KANOJO WA FURAIPAN NI ABURA WO IRERU.
11,6. SHE PUTS THE FRYING PAN ON THE STOVE.,6. ELA COLOCA A FRIGIDEIRA NO FOGÃO.,6. ELLA PONE LA SARTÉN EN LA ESTUFA.,6. LEI METTE LA PADELLA SUL FUOCO.,6. ELLE MET LA POÊLE SUR LA CUISINIÈRE.,6. SIE STELLT DIE PFANNE AUF DEN HERD.,6. 彼女はフライパンをコンロに置く。,6. かのじょはフライパンをコンロにおく。,6. KANOJO WA FURAIPAN WO KONRO NI OKU.
11,7. SHE TURNS ON THE STOVE.,7. ELA LIGA O FOGÃO.,7. ELLA ENCIENDE LA ESTUFA.,7. LEI ACCENDE IL FUOCO.,7. ELLE ALLUME LA CUISINIÈRE.,7. SIE SCHALTE DEN HERD EIN.,7. 彼女はコンロをつける。,7. かのじょはコンロをつける。,7. KANOJO WA KONRO WO TSUKERU.
