Story,File,en,pt,es,it,fr,de,ja,HIRAGANA,ROMAJI,nl,,,,,,
11,,HOT OIL,ÓLEO QUENTE,ACEITE CALIENTE,OLIO CALDO,HUILE CHAUDE,HEISSES ÖL,熱い油,あついあぶら,ATSUI ABURA,HETE OLIE,,,,,,
11,,BOWL,TIGELA,BOL,CIOTOLA,BOL,SCHÜSSEL,ボール,ぼーる,BO-RU,KOM,,,,,,
11,,BREAK,QUEBRAR,ROMPER,ROMPERE,CASSER,BRECHEN,割る,わる,WARU,BREKEN,,,,,,
11,,BREAK EGGS,QUEBRAR OVOS,ROMPER HUEVOS,ROMPERE UOVA,CASSER DES OEUFS,EIER AUFSCHLAGEN,卵を割る,たまごをわる,TAMAGO O WARU,EIER BREKEN,,,,,,
11,,IN THE BOWL,NA TIGELA,EN EL BOL,NELLA CIOTOLA,DANS LE BOL,IN DER SCHÜSSEL,ボールに,ぼーるに,BO-RU NI,IN DE KOM,,,,,,
11,,SALT,SAL,SAL,SAL,SEL,SALZ,塩,しお,SHIO,ZOUT,,,,,,
11,,PUT SALT  ,COLOCAR SAL,PONER SAL,METTERE SALE,METTRE DU SEL,SALZ HINZUFÜGEN,塩を入れる,しおをいれる,SHIO O IRERU,ZOUT TOEVOEGEN,,,,,,
11,,POUR MILK,DESPEJAR LEITE,VERTER LECHE,VERSARE LATTE,VERSER DU LAIT,MILCH GIESSEN,牛乳を注ぐ,ぎゅうにゅうをそそぐ,GYUUNYUU O SOSOGU,MELK GIETEN,,,,,,
11,,STIR,MEXER,MEZCLAR,MESCOLARE,MÉLANGER,RÜHREN,混ぜる,まぜる,MAZERU,ROEREN,,,,,,
11,,STIR EGGS,MEXER OVOS,MEZCLAR HUEVOS,MESCOLARE UOVA,MÉLANGER LES OEUFS,EIER RÜHREN,卵を混ぜる,たまごをまぜる,TAMAGO O MAZERU,EIER ROEREN,,,,,,
11,,POUR EGGS,DESPEJAR OVOS,VERTER HUEVOS,VERSARE UOVA,VERSER LES OEUFS,EIER GIESSEN,卵を入れる,たまごをいれる,TAMAGO O IRERU,EIER TOEVOEGEN,,,,,,
11,,SPOON ,COLHER,CUCHARA,CUCCHIAIO,CUILLÈRE,LÖFFEL,スプーン,すぷーん,SUPU-N,LEPEL,,,,,,
11,,EAT ,COMER,COMER,MANGIARE,MANGER,ESSEN,食べる,たべる,TABERU,ETEN,,,,,,
12,,LIVING ROOM,SALA DE ESTAR,SALA DE ESTAR,SOGGIORNO,SALON,WOHNZIMMER,今,いま,IMA,WOONKAMER,,,,,,
12,,KITCHEN,COZINHA,COCINA,CUCINA,CUISINE,KÜCHE,台所,だいどころ,DAIDOKORO,KEUKEN,,,,,,
12,,SIT – STAND UP,SENTAR – LEVANTAR,SENTARSE – LEVANTARSE,SEDERSI – ALZARSI,S’ASSEOIR – SE LEVER,SITZEN – AUFSTEHEN,座る – 立つ,すわる – たつ,SUWARU – TATSU,ZITTEN – OPSTAAN,,,,,,
12,,RECLINER,POLTRONA,SILLÓN,POLTRONA,FAUTEUIL,SESSEL,リクライナー,りくらいなー,RIKURAINA,LEUNSTOEL,,,,,,
12,,TELEVISION,TELEVISÃO,TELEVISIÓN,TELEVISIONE,TÉLÉVISION,FERNSEHER,テレビ,てれび,TEREBI,TELEVISIE,,,,,,
12,,SING,CANTAR,CANTAR,CANTARE,CHANTER,SINGEN,歌う,うたう,UTAU,ZINGEN,,,,,,
12,,GO BACK TO ORIGIN,VOLTAR À ORIGEM,VOLVER AL ORIGEN,TORNARE ALL’ORIGINE,RETOURNER À L’ORIGINE,ZUM AUSGANG ZURÜCKGEHEN,元の場所に戻る,もとのばしょにもどる,MOTO NO BASHO NI MODORU,TERUG NAAR BEGIN,,,,,,
12,,REFRIGERATOR – FRIDGE,GELADEIRA – REFRIGERADOR,REFRIGERADOR – NEVERA,FRIGORIFERO,RÉFRIGÉRATEUR,KÜHLSCHRANK,冷蔵庫,れいぞうこ,REIZOUKO,KOELKAST,,,,,,
12,,FREEZER,FREEZER,CONGELADOR,FREEZER,CONGÉLATEUR,GEFRIERSCHRANK,冷凍庫,れいとうこ,REITOUKO,VRIEZER,,,,,,
12,,ICE CREAM,SORVETE,HELADO,GELATO,GLACE,EISCREME,アイスクリーム,あいすくりーむ,AISUKURI-MU,IJS,,,,,,
12,,GET ICE CREAM OUT ,PEGAR SORVETE PARA FORA,SACAR HELADO,PRENDERE IL GELATO,PRENDRE LA GLACE,HOL EIS HERAUS,アイスを取り出す,あいすをとりだす,AISU O TORIDASU,IJS PAKKEN,,,,,,
12,,OPEN – CLOSE,ABRIR – FECHAR,ABRIR – CERRAR,APRIRE – CHIUDERE,OUVRIR – FERMER,ÖFFNEN – SCHLIESSEN,開ける – 閉める,あける – しめる,AKERU – SHIMERU,OPENEN – SLUITEN,,,,,,
12,,IN – OUT,DENTRO – FORA,DENTRO – FUERA,DENTRO – FUORI,DEDANS – DEHORS,DRINNEN – DRAUSSEN,中 – 外,なか – そと,NAKA – SOTO,BINNEN – BUITEN,,,,,,
12,,IN THE BOX – OUT OF THE BOX,NA CAIXA – FORA DA CAIXA,EN LA CAJA – FUERA DE LA CAJA,NELLA SCATOLA – FUORI DALLA SCATOLA,DANS LA BOÎTE – HORS DE LA BOÎTE,IN DER BOX – AUS DER BOX,箱の中 – 外,はこのなか – そと,HAKO NO NAKA – SOTO,IN DE DOOS – UIT DE DOOS,,,,,,
12,,PUT ICE CREAM IN BOWL,COLOCAR SORVETE NA TIGELA,PONER HELADO EN EL BOL,METTERE GELATO NELLA CIOTOLA,METTRE LA GLACE DANS LE BOL,EIS IN DIE SCHÜSSEL LEGEN,ボールにアイスを入れる,ぼーるにあいすをいれる,BO-RU NI AISU O IRERU,IJS IN KOM DOEN,,,,,,
12,,WALK – RUN,ANDAR – CORRER,CAMINAR – CORRER,CAMMINARE – CORRERE,MARCHER – COURIR,GEHEN – RENNEN,歩く – 走る,あるく – はしる,ARUKU – HASHIRU,LOPEN – RENNEN,,,,,,
12,,WATCH TELEVISION,ASSISTIR TELEVISÃO,VER TELEVISIÓN,GUARDARE LA TELEVISIONE,REGARDER LA TÉLÉVISION,FERNSEHEN SCHAUEN,テレビを見る,てれびをみる,TEREBI O MIRU,TELEVISIE KIJKEN,,,,,,
12,,EAT ICE CREAM,COMER SORVETE,COMER HELADO,MANGIARE GELATO,MANGER DE LA GLACE,EIS ESSEN,アイスを食べる,あいすをたべる,AISU O TABERU,IJS ETEN,,,,,,
13,,GLASS  ,COPO,VASO,BICCHIERE,VERRE,GLAS,コップ,こっぷ,KOPPU,GLAS,,,,,,
13,,HOLD ,SEGURAR,SOSTENER,TENERE,TENIR,HALTEN,持つ,もつ,MOTSU,VASTHOUDEN,,,,,,
13,,HOLD A GLASS,SEGURAR UM COPO,SOSTENER UN VASO,TENERE UN BICCHIERE,TENIR UN VERRE,EIN GLAS HALTEN,コップを持つ,こっぷをもつ,KOPPU O MOTSU,GLAS VASTHOUDEN,,,,,,
13,,DROP A GLASS,DERRUBAR UM COPO,TIRAR UN VASO,FAR CADERE UN BICCHIERE,LAISSER TOMBER UN VERRE,EIN GLAS FALLEN LASSEN,コップを落とす,こっぷをおとす,KOPPU O OTOSU,GLAS LATEN VALLEN,,,,,,
13,,BREAK,QUEBRAR,ROMPER,ROMPERE,CASSER,BRECHEN,割る,わる,WARU,BREKEN,,,,,,
13,,GLASS BREAKS,COPO QUEBRA,EL VASO SE ROMPE,IL BICCHIERE SI ROMPE,LE VERRE SE CASSE,DAS GLAS BRICHT,コップが割れる,こっぷがわれる,KOPPU GA WARERU,GLAS BREEKT,,,,,,
13,,STEP ,PISAR,PISAR,CALPESTARE,MARCHER,DRAUFTRETEN,踏む,ふむ,FUMU,STAPPEN,,,,,,
13,,STEP BACK,DAR UM PASSO PARA TRÁS,DAR UN PASO ATRÁS,FARE UN PASSO INDIETRO,FAIRE UN PAS EN ARRIÈRE,EINEN SCHRITT ZURÜCK,一歩下がる,いっぽさがる,IPPO SAGARU,STAP ACHTERUIT,,,,,,
13,,STEP FORWARD,DAR UM PASSO PARA FRENTE,DAR UN PASO ADELANTE,FARE UN PASSO AVANTI,FAIRE UN PAS EN AVANT,EINEN SCHRITT VOR,一歩前へ,いっぽまえへ,IPPO MAE E,STAP VOORUIT,,,,,,
13,,LOOK AT,OLHAR PARA,MIRAR A,GUARDARE,REGARDER,ANSCHAUEN,見る,みる,MIRU,KIJKEN NAAR,,,,,,
13,,BROKEN GLASS,VIDRO QUEBRADO,VIDRIO ROTO,VETRO ROTTO,VERRE CASSÉ,ZERBROCHENES GLAS,割れたガラス,われたがらす,WARETA GARASU,GEBROKEN GLAS,,,,,,
13,,BROOM,VASSOURA,ESCOBA,SCOPA,BALAI,BESEN,箒,ほうき,HOUKI,BEZEM,,,,,,
13,,DUSTPAN,PÁ DE LIXO,RECOGEDOR,PALETTA,PELLE,SCHAUFEL,ちりとり,ちりとり,CHIRITORI,STOFBLIK,,,,,,
13,,SWEEP,VARRER,BARRER,SPAZZARE,BALAYER,FEGEN,掃く,はく,HAKU,VEGEN,,,,,,
13,,BIG ,GRANDE,GRANDE,GRANDE,GRAND,GROSS,大きい,おおきい,OOKII,GROOT,,,,,,
13,,SMALL,PEQUENO,PEQUEÑO,PICCOLO,PETIT,KLEIN,小さい,ちいさい,CHIISAI,KLEIN,,,,,,
13,,PIECE,PEDAÇO,PIEZA,PEZZO,MORCEAU,STÜCK,破片,はへん,HAHEN,STUK,,,,,,
13,,BROKEN PIECE,PEDAÇO QUEBRADO,PIEZA ROTA,PEZZO ROTTO,MORCEAU CASSÉ,ZERBROCHENES STÜCK,割れた破片,われたはへん,WARETA HAHEN,GEBROKEN STUK,,,,,,
13,,PIECE OF BROKEN GLASS,PEDAÇO DE VIDRO QUEBRADO,PIEZA DE VIDRIO ROTO,PEZZO DI VETRO ROTTO,MORCEAU DE VERRE CASSÉ,STÜCK ZERBROCHENES GLAS,割れたガラスの破片,われたがらすのはへん,WARETA GARASU NO HAHEN,STUK GEBROKEN GLAS,,,,,,
13,,SWEEP PIECES OF BROKEN GLASS,VARRER PEDAÇOS DE VIDRO QUEBRADO,BARRER PIEZAS DE VIDRIO ROTO,SPAZZARE PEZZI DI VETRO ROTTO,BALAYER DES MORCEAUX DE VERRE CASSÉ,GLASSTÜCKE FEGEN,割れたガラスを掃く,われたがらすをはく,WARETA GARASU O HAKU,GEBROKEN GLAS VEGEN,,,,,,
13,,FOOD,COMIDA,COMIDA,CIBO,NOURRITURE,ESSEN,食べ物,たべもの,TABEMONO,ETEN,,,,,,
13,,TABLE,MESA,MESA,TAVOLO,TABLE,TISCH,テーブル,てーぶる,TE-BURU,TAFEL,,,,,,
13,,TAKE FOOD TO TABLE,LEVAR COMIDA PARA A MESA,LLEVAR COMIDA A LA MESA,PORTARE CIBO AL TAVOLO,APPORTER LA NOURRITURE À TABLE,ESSEN ZUM TISCH BRINGEN,食べ物をテーブルに運ぶ,たべものをてーぶるにはこぶ,TABEMONO O TE-BURU NI HAKOBU,ETEN NAAR TAFEL BRENGEN,,,,,,
13,,THROW,JOGAR,TIRAR,GETTARE,JETER,WERFEN,投げる,なげる,NAGERU,GOOIEN,,,,,,
13,,TRASH  ,LIXO,BASURA,SPAZZATURA,ORDURES,MÜLL,ゴミ,ごみ,GOMI,AFVAL,,,,,,
13,,CAN,LATA,CUBO,BIDONE,POUBELLE,EIMER,缶,かん,KAN,BAK,,,,,,
13,,TRASH CAN,LIXEIRA,BOTE DE BASURA,CESTINO,POUBELLE,MÜLLEIMER,ゴミ箱,ごみばこ,GOMIBAKO,PRULLENBAK,,,,,,
13,,INTO TRASH CAN,DENTRO DA LIXEIRA,DENTRO DEL BOTE,NEL CESTINO,DANS LA POUBELLE,IN DEN MÜLLEIMER,ゴミ箱に,ごみばこに,GOMIBAKO NI,IN DE PRULLENBAK,,,,,,
13,,TAKE DUSTPAN TO TRASH CAN,LEVAR PÁ DE LIXO À LIXEIRA,LLEVAR RECOGEDOR AL BOTE,PORTARE LA PALETTA AL CESTINO,APPORTER LA PELLE À LA POUBELLE,SCHAUFEL ZUM MÜLL BRINGEN,ちりとりをゴミ箱へ,ちりとりをごみばこへ,CHIRITORI O GOMIBAKO E,STOFBLIK NAAR PRULLENBAK,,,,,,
13,,PUT BACK GLASS,GUARDAR COPO,GUARDAR VASO,RIPORRE IL BICCHIERE,RANGER LE VERRE,GLAS ZURÜCKSTELLEN,コップを戻す,こっぷをもどす,KOPPU O MODOSU,GLAS TERUGZETTEN,,,,,,
13,,PUT BACK BROOM,GUARDAR VASSOURA,GUARDAR ESCOBA,RIPORRE LA SCOPA,RANGER LE BALAI,BESEN ZURÜCKSTELLEN,箒を戻す,ほうきをもどす,HOUKI O MODOSU,BEZEM TERUGZETTEN,,,,,,
13,,ONE – ANOTHER,UM – OUTRO,UNO – OTRO,UNO – UN ALTRO,UN – AUTRE,EIN – EIN ANDERER,一つ – もう一つ,ひとつ – もうひとつ,HITOTSU – MOU HITOTSU,EEN – NOG EEN,,,,,,
13,,SHE GETS ONE GLASS – SHE GETS ANOTHER GLASS,ELA PEGA UM COPO – ELA PEGA OUTRO COPO,ELLA TOMA UN VASO – TOMA OTRO,LEI PRENDE UN BICCHIERE – NE PRENDE UN ALTRO,ELLE PREND UN VERRE – EN PREND UN AUTRE,SIE NIMMT EIN GLAS – SIE NIMMT EIN ANDERES,彼女はコップを一つ取る – もう一つ取る,かのじょはこっぷをひとつとる – もうひとつとる,KANOJO WA KOPPU O HITOTSU TORU – MOU HITOTSU TORU,ZIJ PAKT EEN GLAS – ZE PAKT NOG EEN,,,,,,
13,,DON’T DROP,NÃO DERRUBAR,NO DEJAR CAER,NON FAR CADERE,NE PAS LAISSER TOMBER,NICHT FALLEN LASSEN,落とさない,おとさない,OTOSANAI,NIET LATEN VALLEN,,,,,,
14,,HOUSE,CASA,CASA,CASA,MAISON,HAUS,家,いえ,IE,HUIS,,,,,,
14,,A HOUSE – THE HOUSE,UMA CASA – A CASA,UNA CASA – LA CASA,UNA CASA – LA CASA,UNE MAISON – LA MAISON,EIN HAUS – DAS HAUS,家 – その家,いえ – そのいえ,IE – SONO IE,EEN HUIS – HET HUIS,,,,,,
14,,DIRTY – CLEAN,SUJO – LIMPO,SUCIO – LIMPIO,SPORCO – PULITO,SALE – PROPRE,SCHMUTZIG – SAUBER,汚い – 綺麗,きたない – きれい,KITANAI – KIREI,VIES – SCHOON,,,,,,
14,,FILL – EMPTY,ENCHER – ESVAZIAR,LLENAR – VACIAR,RIEMPIRE – SVUOTARE,REMPLIR – VIDER,FÜLLEN – LEEREN,満たす – 空にする,みたす – からにする,MITASU – KARA NI SURU,VULLEN – LEEGMAKEN,,,,,,
14,,BUCKET,BALDE,CUBO,SECCHIO,SEAU,EIMER,バケツ,ばけつ,BAKETSU,EMMER,,,,,,
14,,WITH – WITHOUT,COM – SEM,CON – SIN,CON – SENZA,AVEC – SANS,MIT – OHNE,一升 – 無し,いっしょう – なし,ISSHO – NASHI,MET – ZONDER,,,,,,
14,,SOAP,SABÃO,JABÓN,SAPONE,SAVON,SEIFE,石鹸,せっけん,SEKKEN,ZEEP,,,,,,
14,,WATER,ÁGUA,AGUA,ACQUA,EAU,WASSER,水,みず,MIZU,WATER,,,,,,
14,,PUT SOAP IN WATER,COLOCAR SABÃO NA ÁGUA,PONER JABÓN EN EL AGUA,METTERE SAPONE NELL’ACQUA,METTRE DU SAVON DANS L’EAU,SEIFE INS WASSER GEBEN,水に石鹸を入れる,みずにせっけんをいれる,MIZU NI SEKKEN O IRERU,ZEEP IN WATER DOEN,,,,,,
14,,CLOTHES,ROUPAS,ROPA,VESTITI,VÊTEMENTS,KLEIDUNG,拭く,ふく,FUKU,KLEREN,,,,,,
14,,PUT ON CLOTHES,VESTIR ROUPAS,PONERSE ROPA,INDOSSARE I VESTITI,METTRE DES VÊTEMENTS,KLEIDUNG ANZIEHEN,拭くを切る,ふくをきる,FUKU O KIRU,KLEREN AANTREKKEN,,,,,,
14,,APRON,AVENTAL,DELANTAL,GREMBIULE,TABLIER,SCHÜRZE,エプロン,えぷろん,EPURON,SCHORT,,,,,,
14,,GET A TOWEL,PEGAR UMA TOALHA,AGARRAR UNA TOALLA,PRENDERE UN ASCIUGAMANO,PRENDRE UNE SERVIETTE,EIN HANDTUCH HOLEN,タオルを取る,たおるをとる,TAORU O TORU,HANDDOEK PAKKEN,,,,,,
14,,RAG,PANO,TRAPO,STRACCIO,CHIFFON,LAPPEN,雑巾,ぞうきん,ZOUKIN,DOEK,,,,,,
14,,GET A RAG,PEGAR UM PANO,AGARRAR UN TRAPO,PRENDERE UNO STRACCIO,PRENDRE UN CHIFFON,EINEN LAPPEN HOLEN,雑巾を取る,ぞうきんをとる,ZOUKIN O TORU,DOEK PAKKEN,,,,,,
14,,DUST  ,POEIRA,POLVO,POLVERE,POUSSIÈRE,STAUB,埃,ほこり,HOKORI,STOF,,,,,,
14,,FURNITURE,MÓVEIS,MUEBLES,MOBILI,MEUBLES,MÖBEL,家具,かぐ,KAGU,MEUBELS,,,,,,
14,,HE DUSTS FURNITURE,ELE TIRA POEIRA DOS MÓVEIS,ÉL LIMPIA LOS MUEBLES,LU SPOLVERA I MOBILI,IL DÉPOUSSIÈRE LES MEUBLES,ER ENTFERNT STAUB VON MÖBELN,彼は家具の埃を取る,かれはかぐのほこりをとる,KARE WA KAGU NO HOKORI O TORU,HIJ STOFT DE MEUBELS AF,,,,,,
14,,DUST WITH RAG,TIRAR POEIRA COM PANO,QUITAR POLVO CON TRAPO,SPOLVERARE CON STRACCIO,DÉPOUSSIÉRER AVEC CHIFFON,MIT LAPPEN ABSTAUBEN,雑巾で埃を取る,ぞうきんでほこりをとる,ZOUKIN DE HOKORI O TORU,AFSTOFFEN MET DOEK,,,,,,
14,,DUST WITH TOWEL,TIRAR POEIRA COM TOALHA,QUITAR POLVO CON TOALLA,SPOLVERARE CON ASCIUGAMANO,DÉPOUSSIÉRER AVEC SERVIETTE,MIT HANDTUCH ABSTAUBEN,タオルで埃を取る,たおるでほこりをとる,TAORU DE HOKORI O TORU,AFSTOFFEN MET HANDDOEK,,,,,,
14,,BLEACH,ÁGUA SANITÁRIA,LEJÍA,CANDeggINA,EAU DE JAVEL,BLEICHMITTEL,表白剤,ひょうはくざい,HYOUHAKUZAI,BLEEKMIDDEL,,,,,,
14,,PUT BLEACH IN BUCKET,COLOCAR ÁGUA SANITÁRIA NO BALDE,PONER LEJÍA EN EL CUBO,METTERE CANDEGGINA NEL SECCHIO,METTRE DE L’EAU DE JAVEL DANS LE SEAU,BLEICHMITTEL IN DEN EIMER GEBEN,バケツに表白剤を入れる,ばけつにひょうはくざいをいれる,BAKETSU NI HYOUHAKUZAI O IRERU,BLEEK IN EMMER DOEN,,,,,,
14,,POWDER,PÓ,POLVO,POLVERE,POUDRE,PULVER,粉,こな,KONA,POEDER,,,,,,
14,,BLEACH POWDER,PÓ DE ÁGUA SANITÁRIA,LEJÍA EN POLVO,CANDEGGINA IN POLVERE,JAVEL EN POUDRE,BLEICHPULVER,表白剤の粉,ひょうはくざいのこな,HYOUHAKUZAI NO KONA,BLEEKPOEDER,,,,,,
14,,SINK,PIA,FREGADERO,LAVANDINO,ÉVIER,WASCHBECKEN,流し,ながし,NAGASHI,WASBAK,,,,,,
14,,IN THE SINK,NA PIA,EN EL FREGADERO,NEL LAVANDINO,DANS L’ÉVIER,IM WASCHBECKEN,流しで,ながしで,NAGASHI DE,IN DE WASBAK,,,,,,
14,,SCRUB,ESFREGAR,FROTAR,STROFINARE,RÉCURER,SCHRUBBEN,擦る,こする,KOSURU,SCHROBBEN,,,,,,
14,,SCRUB SINK,ESFREGAR A PIA,FROTAR EL FREGADERO,STROFINARE IL LAVANDINO,RÉCURER L’ÉVIER,WASCHBECKEN SCHRUBBEN,流しを擦る,ながしをこする,NAGASHI O KOSURU,WASBAK SCHROBBEN,,,,,,
14,,SPONGE,ESPONJA,ESPONJA,SPUGNA,ÉPONGE,SCHWAMM,スポンジ,すぽんじ,SPONJI,SPONS,,,,,,
14,,SCRUB SINK WITH SPONGE,ESFREGAR A PIA COM ESPONJA,FROTAR EL FREGADERO CON ESPONJA,STROFINARE IL LAVANDINO CON SPUGNA,RÉCURER L’ÉVIER AVEC ÉPONGE,MIT SCHWAMM SCHRUBBEN,スポンジで流しを擦る,すぽんじでながしをこする,SPONJI DE NAGASHI O KOSURU,WASBAK MET SPONS SCHROBBEN,,,,,,
14,,SCRUB SINK WITH RAG,ESFREGAR A PIA COM PANO,FROTAR EL FREGADERO CON TRAPO,STROFINARE IL LAVANDINO CON STRACCIO,RÉCURER L’ÉVIER AVEC CHIFFON,MIT LAPPEN SCHRUBBEN,雑巾で流しを擦る,ぞうきんでながしをこする,ZOUKIN DE NAGASHI O KOSURU,WASBAK MET DOEK SCHROBBEN,,,,,,
14,,BROOM,VASSOURA,ESCOBA,SCOPA,BALAI,BESEN,箒,ほうき,HOUKI,BEZEM,,,,,,
14,,SWEEP,VARRER,BARRER,SPAZZARE,BALAYER,FEGEN,掃く,はく,HAKU,VEGEN,,,,,,
14,,KITCHEN,COZINHA,COCINA,CUCINA,CUISINE,KÜCHE,台所,だいどころ,DAIDOKORO,KEUKEN,,,,,,
14,,FLOOR,CHÃO,SUELO,PAVIMENTO,SOL,BODEN,床,ゆか,YUKA,VLOER,,,,,,
14,,LIVING ROOM,SALA DE ESTAR,SALA DE ESTAR,SOGGIORNO,SALON,WOHNZIMMER,今,いま,IMA,WOONKAMER,,,,,,
14,,VACUUM CLEANER,ASPIRADOR DE PÓ,ASPIRADORA,ASPIRAPOLVERE,ASPIRATEUR,STAUBSAUGER,掃除機,そうじき,SOUJIKI,STOFZUIGER,,,,,,
14,,CARPET,TAPETE,ALFOMBRA,TAPPETO,TAPIS,TEPPICH,カーペット,かーぺっと,KA-PETTO,TAPIJT,,,,,,
14,,HE VACUUMS THE CARPET,ELE ASPIRA O TAPETE,ÉL ASPIRA LA ALFOMBRA,LUI ASPIRA IL TAPPETO,IL PASSE L’ASPIRATEUR SUR LE TAPIS,ER SAUGT DEN TEPPICH,彼はカーペットを掃除する,かれはかーぺっとをそうじする,KARE WA KA-PETTO O SOUJI SURU,HIJ STOFZUIGT HET TAPIJT,,,,,,
14,,RUG,TAPETE PEQUENO,ALFOMBRA PEQUEÑA,TAPPETO PICCOLO,PETIT TAPIS,KLEINER TEPPICH,ラグ,らぐ,RAGU,KLEEDJE,,,,,,
14,,VACUUM RUG,ASPIRAR RAG,ASPIRAR TAPETE PEQUEÑO,ASPIRARE IL TAPPETO PICCOLO,ASPIRER LE PETIT TAPIS,KLEINEN TEPPICH SAUGEN,ラグを掃除する,らぐをそうじする,RAGU O SOUJI SURU,KLEEDJE STOFZUIGEN,,,,,,
14,,MOP,ESFREGÃO,MOPA,MOCIO,SERPILLIÈRE,WISCHMOPP,モップ,もっぷ,MOPPU,DWEIL,,,,,,
14,,MOP KITCHEN FLOOR,PASSAR MOP NO CHÃO DA COZINHA,FREGAR EL SUELO DE LA COCINA,LAVARE IL PAVIMENTO DELLA CUCINA,PASSER LA SERPILLIÈRE DANS LA CUISINE,KÜCHENBODEN WISCHEN,台所の床を拭く,だいどころのゆかをふく,DAIDOKORO NO YUKA O FUKU,KEUKENVLOER DWEILEN,,,,,,
14,,TRASH ,LIXO,BASURA,SPAZZATURA,ORDURES,MÜLL,ゴミ,ごみ,GOMI,AFVAL,,,,,,
14,,CAN  ,LATA,CUBO,BIDONE,POUBELLE,EIMER,缶,かん,KAN,BAK,,,,,,
14,,TRASH CAN,LIXEIRA,BOTE DE BASURA,CESTINO,POUBELLE,MÜLLEIMER,ゴミ箱,ごみばこ,GOMIBAKO,PRULLENBAK,,,,,,
15,,THROW,ARREMESSAR,TIRAR,GETTARE,JETER,WERFEN,投げる,なげる,NAGERU,GOOIEN,,,,,,
15,,CARRY – THROW,CARREGAR – JOGAR,CARGAR – TIRAR,PORTARE – GETTARE,PORTER – JETER,TRAGEN – WERFEN,運ぶ – 投げる,はこぶ – なげる,HAKOBU – NAGERU,DRAGEN – GOOIEN,,,,,,
15,,CHEAP – EXPENSIVE,BARATO – CARO,BARATO – CARO,ECONOMICO – COSTOSO,BON MARCHÉ – CHER,BILLIG – TEUER,安い – 高い,やすい – たかい,YASUI – TAKAI,GOEDKOOP – DUUR,,,,,,
15,,CERAMIC,CERÂMICA,CERÁMICA,CERAMICA,CÉRAMIQUE,KERAMIK,陶器,とうき,TOUKI,KERAMIEK,,,,,,
15,,MUG,CANECA,TAZA,TAZZA,MUG,TASSE,マグカップ,まぐかっぷ,MAGUKAPPU,MOK,,,,,,
15,,CERAMIC MUG,CANECA DE CERÂMICA,TAZA DE CERÁMICA,TAZZA DI CERAMICA,MUG EN CÉRAMIQUE,KERAMIKTASSE,陶器のマグカップ,とうきのまぐかっぷ,TOUKI NO MAGUKAPPU,KERAMISCHE MOK,,,,,,
15,,WALK – RUN,ANDAR – CORRER,CAMINAR – CORRER,CAMMINARE – CORRERE,MARCHER – COURIR,GEHEN – RENNEN,歩く – 走る,あるく – はしる,ARUKU – HASHIRU,LOPEN – RENNEN,,,,,,
15,,TABLE,MESA,MESA,TAVOLO,TABLE,TISCH,テーブル,てーぶる,TE-BURU,TAFEL,,,,,,
15,,TO THE TABLE,PARA A MESA,A LA MESA,AL TAVOLO,À LA TABLE,ZUM TISCH,テーブルへ,てーぶるへ,TE-BURU E,NAAR DE TAFEL,,,,,,
15,,DROP – CARRY,DERRUBAR – CARREGAR,TIRAR – CARGAR,FAR CADERE – PORTARE,LAISSER TOMBER – PORTER,FALLEN LASSEN – TRAGEN,落とす – 運ぶ,おとす – はこぶ,OTOSU – HAKOBU,LATEN VALLEN – DRAGEN,,,,,,
15,,BREAK,QUEBRAR,ROMPER,ROMPERE,CASSER,BRECHEN,割る,わる,WARU,BREKEN,,,,,,
15,,MUG BREAKS,CANECA QUEBRA,LA TAZA SE ROMPE,LA TAZZA SI ROMPE,LE MUG SE CASSE,DIE TASSE BRICHT,マグカップが割れる,まぐかっぷがわれる,MAGUKAPPU GA WARERU,MOK BREEKT,,,,,,
15,,STEP ,PISAR,PISAR,CALPESTARE,MARCHER,DRAUFTRETEN,踏む,ふむ,FUMU,STAPPEN,,,,,,
15,,STEP BACK,DAR UM PASSO PARA TRÁS,DAR UN PASO ATRÁS,FARE UN PASSO INDIETRO,FAIRE UN PAS EN ARRIÈRE,EINEN SCHRITT ZURÜCK,一歩下がる,いっぽさがる,IPPO SAGARU,STAP ACHTERUIT,,,,,,
15,,STEP FORWARD,DAR UM PASSO PARA FRENTE,DAR UN PASO ADELANTE,FARE UN PASSO AVANTI,FAIRE UN PAS EN AVANT,EINEN SCHRITT VOR,一歩前へ,いっぽまえへ,IPPO MAE E,STAP VOORUIT,,,,,,
15,,LOOK AT,OLHAR PARA,MIRAR A,GUARDARE,REGARDER,ANSCHAUEN,見る,みる,MIRU,KIJKEN NAAR,,,,,,
15,,BROKEN MUG,CANECA QUEBRADA,TAZA ROTA,TAZZA ROTTA,MUG CASSÉ,ZERBROCHENE TASSE,割れたマグカップ,われたまぐかっぷ,WARETA MAGUKAPPU,GEBROKEN MOK,,,,,,
15,,GET TOWEL,PEGAR UMA TOALHA,AGARRAR UNA TOALLA,PRENDERE UN ASCIUGAMANO,PRENDRE UNE SERVIETTE,EIN HANDTUCH HOLEN,タオルを取る,たおるをとる,TAORU O TORU,HANDDOEK PAKKEN,,,,,,
15,,BROOM,VASSOURA,ESCOBA,SCOPA,BALAI,BESEN,箒,ほうき,HOUKI,BEZEM,,,,,,
